POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2256,4154,4460,8614,432,472,904,1860,2148,4014,29,29,51,26,26,50,10,3,15,15,27,41,0,0,0,5,3,13,9,13,24,0,0,0,1960,2249,4207,136,169,304,76,85,165,2608,2974,5582,484,556,1039,7245,7992,15232
POA2257,7833,8424,16254,1376,1447,2823,3106,3527,6628,68,67,138,72,85,157,10,8,13,25,38,60,6,8,11,8,11,16,13,21,29,0,0,0,3307,3758,7062,273,283,557,105,108,210,5062,5596,10666,892,1001,1891,13784,15019,28801
POA2258,1587,1562,3149,69,72,139,641,681,1319,5,4,13,6,9,18,0,3,3,4,6,10,0,0,0,0,0,0,5,6,12,0,0,0,665,711,1370,43,32,70,10,5,13,785,819,1602,118,106,227,2492,2488,4978
POA2259,16554,17151,33711,1895,2175,4068,8814,9535,18348,79,92,170,182,208,392,29,23,57,39,56,98,22,15,36,10,20,28,34,36,76,0,0,0,9215,9990,19202,429,473,898,315,276,595,11851,12908,24762,1846,2008,3855,30258,32067,62323
POA2260,6646,6937,13579,857,831,1690,3288,3559,6844,61,54,119,73,90,164,4,7,16,20,13,31,8,17,25,11,5,13,14,9,29,0,0,0,3486,3762,7246,351,370,723,79,64,142,4776,5025,9802,546,559,1106,11964,12521,24491
POA2261,14224,15284,29503,1874,2098,3971,6259,6909,13169,84,101,176,129,170,297,20,20,35,38,37,68,12,14,25,11,16,28,29,30,58,0,0,0,6573,7289,13862,373,405,774,190,198,390,9009,9989,19005,1607,1816,3427,24842,27089,51934
POA2262,5571,5746,11320,696,723,1423,2615,2863,5480,21,20,43,51,68,120,7,13,25,9,10,22,7,8,16,8,7,17,6,13,19,0,0,0,2726,3011,5738,59,78,137,92,77,159,3572,3886,7459,615,633,1245,9754,10267,20022
POA2263,6089,6316,12404,872,961,1830,2978,3289,6269,27,25,52,83,109,190,3,8,7,7,13,28,3,4,18,12,11,18,7,9,20,0,0,0,3128,3465,6599,129,153,282,116,118,231,4244,4696,8943,878,902,1778,11206,11909,23119
POA2264,3927,4101,8030,602,700,1307,2162,2342,4508,29,36,60,74,71,144,4,15,19,25,20,47,0,3,8,3,10,9,17,12,25,0,0,0,2314,2508,4824,84,106,191,78,77,150,3080,3389,6472,388,411,794,7392,7901,15294
POA2265,1600,1645,3246,384,421,801,1063,1139,2202,21,30,50,35,46,78,5,5,10,8,15,22,5,7,13,7,3,3,7,15,15,0,0,0,1149,1251,2400,58,69,127,37,42,77,1624,1786,3409,140,174,311,3366,3603,6971
