SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
11101,3660,6820,206,255,458,4081,4944,9036,551,1178,1734,678,953,1631,104,147,251,1333,2278,3617,4040,4534,8577,55075,57849,112920,2509,2487,5003,61624,64870,126496
11102,2416,4665,157,186,345,2989,3425,6413,423,890,1315,512,585,1092,91,122,216,1026,1597,2625,3250,3492,6743,36353,38169,74517,1898,1865,3760,41501,43526,85022
11103,3736,6988,255,344,599,4463,5404,9872,772,1623,2393,706,983,1694,154,399,549,1632,3005,4635,5335,6200,11534,78084,80585,158663,4484,4319,8806,87903,91104,179000
11201,2447,4715,168,190,362,2846,3175,6029,361,790,1148,521,651,1171,93,177,277,975,1618,2598,2335,2655,4988,36574,39370,75943,3376,3466,6843,42285,45491,87772
11202,1836,3549,176,185,362,2203,2515,4723,283,585,866,345,441,790,83,156,234,711,1182,1893,2588,2720,5312,29683,30791,60472,3069,3038,6108,35340,36549,71896
11203,3268,6265,270,333,605,3958,4516,8467,615,1102,1713,739,937,1673,174,283,450,1528,2322,3844,3432,3809,7241,39966,43335,83303,3407,3436,6848,46805,50580,97392
11301,1088,2067,125,108,227,1311,1520,2832,196,429,625,237,308,543,45,65,116,478,802,1286,1286,1503,2789,21344,21176,42522,2227,2022,4253,24857,24701,49559
11302,416,879,52,48,103,603,543,1150,53,138,197,83,87,173,11,19,32,147,244,398,445,466,909,6344,6387,12727,731,564,1288,7520,7417,14931
11303,2374,4572,207,211,422,2860,3249,6117,400,831,1230,484,630,1116,78,145,219,962,1606,2566,2917,3363,6279,42163,43957,86119,3897,2871,6771,48977,50191,99169
11401,3640,7385,270,275,544,4844,4968,9819,557,1047,1606,762,868,1631,97,164,258,1416,2079,3504,4292,4485,8774,45142,46941,92086,4176,3295,7467,53610,54721,108328
11402,2184,4187,140,176,318,2420,2752,5175,236,437,668,413,408,823,106,168,278,755,1013,1765,1339,1596,2937,22632,24396,47021,1330,1388,2719,25301,27380,52678
11501,3356,6574,170,241,413,3994,4518,8512,548,1172,1714,633,718,1351,156,378,533,1337,2268,3603,2852,3758,6603,70913,72734,143652,2111,2391,4505,75876,78883,154767
11502,765,1560,31,33,59,969,986,1945,146,263,406,146,143,287,22,14,36,314,420,729,644,743,1384,12893,12627,25525,534,464,1001,14071,13834,27914
11503,457,934,43,23,68,614,579,1193,58,91,151,86,61,143,7,3,12,151,155,307,569,514,1085,11601,11322,22924,533,464,995,12703,12300,25006
11504,550,1095,52,35,81,703,765,1470,51,105,161,73,72,142,81,13,88,205,190,389,729,790,1520,26504,26880,53382,943,839,1779,28176,28509,56682
11601,1875,3731,158,185,340,2698,3096,5792,430,889,1315,320,396,717,70,115,185,820,1400,2220,3941,4621,8558,63383,62122,125508,4357,4176,8533,71681,70919,142602
11602,928,1888,63,53,116,1323,1470,2801,161,295,453,114,111,225,15,21,41,290,427,727,2242,2526,4770,65275,65905,131177,4096,2732,6824,71613,71163,142771
11603,1162,2267,148,169,317,1825,2135,3950,236,574,816,150,188,331,60,188,251,446,950,1395,3749,4097,7847,48476,49982,98459,4585,4728,9319,56810,58807,115629
11701,887,1626,79,95,172,1068,1370,2435,154,282,442,149,134,285,36,86,130,339,502,844,1141,1377,2519,26487,26257,52749,1808,1705,3515,29436,29339,58771
11702,705,1415,78,73,155,1070,1223,2296,218,379,599,136,159,291,31,39,66,385,577,958,1206,1554,2757,24530,24794,49328,1482,1211,2690,27218,27559,54771
11703,2005,4138,300,280,572,2993,3000,5990,368,605,972,383,436,810,101,175,275,852,1216,2059,2850,3158,6010,102457,93816,196274,8546,6968,15513,113853,103942,217795
11801,2949,5444,212,333,542,3082,3857,6941,378,757,1133,631,712,1340,219,474,691,1228,1943,3169,1472,2141,3611,55684,60456,116137,3550,3872,7424,60706,66469,127167
11802,2638,4961,275,261,535,3126,3778,6904,510,924,1436,577,675,1255,247,441,681,1334,2040,3371,2401,3126,5527,58346,61998,120343,4623,3745,8372,65370,68869,134243
11901,2570,5204,334,363,702,4038,4511,8555,796,1422,2212,653,677,1331,236,421,663,1685,2520,4204,6000,6915,12909,79409,80591,160001,6710,6622,13330,92119,94128,186245
11902,1951,3997,283,294,576,3284,3624,6904,669,1015,1686,467,460,932,181,341,528,1317,1816,3146,4230,4990,9218,62389,58874,121267,5537,5071,10608,72156,68935,141091
11903,2587,4974,190,251,436,3335,3975,7320,626,1162,1787,616,699,1314,144,400,547,1386,2261,3652,3210,4227,7432,58573,59441,118015,3117,3297,6414,64900,66965,131869
11904,2646,5167,295,317,616,3600,4230,7835,747,1215,1965,560,646,1203,251,377,629,1558,2238,3801,3463,4487,7956,64477,64654,129132,4501,4336,8834,72441,73477,145918
