LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA17100,37,29,13,34,496,36,46,125,97,41,24,32,35,427,46,50,115,80,64,37,45,53,492,7930,2907,4069,1731,599,236,173,1254,18896
LGA17150,406,111,48,284,4466,178,223,996,837,401,106,64,251,3061,249,275,1063,922,468,175,129,710,3989,28941,11320,30301,16049,4658,1086,504,4251,97105
LGA17200,113,40,25,180,1758,172,147,348,219,101,26,32,171,1216,134,140,300,190,88,55,49,230,1193,59657,10529,10022,3381,1041,323,269,7989,93203
LGA17310,176,65,31,112,1276,60,52,229,242,164,59,59,140,1004,71,52,180,212,142,97,81,138,978,6475,2698,6763,4791,2080,705,487,2109,26112
LGA17350,27,9,6,16,153,3,3,23,25,34,9,10,21,134,10,11,19,34,28,14,13,21,152,507,206,608,511,339,103,79,192,2544
LGA17400,18,9,7,29,186,17,7,29,27,11,13,5,10,123,8,10,16,29,14,12,12,13,123,613,286,725,589,259,96,81,347,2993
LGA17420,310,76,44,116,2771,85,137,563,486,209,92,47,97,1714,100,146,464,373,214,83,108,163,1651,21713,10822,26046,11693,3409,845,496,2508,77526
LGA17550,268,80,53,252,2597,152,120,518,460,241,94,68,266,1917,178,171,452,459,302,130,119,505,2319,10563,4953,12132,7283,2854,856,522,3663,42828
LGA17620,41,11,6,24,277,17,10,50,58,31,13,11,28,217,18,20,42,49,31,18,26,43,244,1455,551,1498,1174,483,170,86,440,5857
LGA17640,29,9,8,19,201,15,9,23,28,18,3,0,13,118,16,8,21,31,22,13,13,16,132,811,336,881,680,349,94,64,326,3528
LGA17650,18,12,3,14,118,9,10,12,25,13,0,3,6,80,8,0,16,20,6,7,6,8,81,622,256,677,467,221,73,53,202,2561
LGA17750,176,66,45,88,1080,50,32,186,204,148,66,75,83,842,60,60,172,198,169,81,99,153,993,8324,2782,6585,4801,2204,782,613,1881,27974
LGA17850,12,3,4,13,92,3,4,18,20,5,5,0,11,77,4,0,13,18,5,3,3,9,51,216,109,341,289,103,37,16,137,1247
LGA17900,11,9,4,21,91,8,0,5,14,4,7,3,20,66,4,5,5,5,4,0,5,13,40,410,163,371,284,156,62,57,596,2101
LGA17950,12,3,4,8,60,7,0,8,6,6,0,4,12,48,4,0,5,8,13,3,4,27,64,211,88,224,196,116,36,35,137,1037
LGA18020,34,10,9,47,248,13,7,33,28,33,17,16,30,164,4,9,26,45,34,19,17,45,203,705,304,868,737,396,154,116,602,3872
LGA18050,56,9,0,95,884,91,84,202,137,52,13,12,118,705,72,111,227,145,58,9,25,224,864,14661,3662,6106,2549,600,106,107,2278,30069
LGA18100,17,5,0,12,111,0,0,10,12,17,3,0,9,65,8,5,12,16,15,7,7,4,75,308,115,332,343,174,46,40,126,1488
LGA18200,21,6,3,15,131,0,7,19,14,17,5,3,14,83,0,5,12,18,21,10,8,15,84,601,241,743,531,244,76,59,409,2912
LGA18250,94,26,14,64,1138,102,64,278,207,97,25,4,47,832,142,103,314,262,160,82,56,130,1240,11699,5397,9007,3465,913,229,108,1401,32219
LGA18350,166,38,35,120,1651,129,79,276,289,134,44,31,118,1093,94,70,241,198,122,52,39,200,1014,6108,2578,6541,4125,1558,435,257,1461,23064
LGA18400,77,28,16,63,741,27,26,113,144,64,30,26,72,500,19,22,95,81,46,25,19,137,449,5588,2138,6083,4064,1505,438,254,1225,21308
LGA18450,451,151,69,304,4059,189,233,914,860,383,157,98,322,3157,164,218,979,872,402,223,143,588,3581,27765,9865,25703,14467,5072,1558,960,5220,90609
LGA18500,77,15,10,78,1264,122,81,256,211,74,23,11,116,894,105,81,225,202,88,22,22,298,1042,10393,2954,5731,2903,757,146,81,1605,24566
LGA18710,37,12,3,19,291,11,13,51,50,20,11,8,21,188,9,9,59,46,36,10,17,26,211,1912,742,2011,1314,486,156,89,399,7101
LGA19399,0,0,0,3,18,0,0,5,4,3,0,0,0,9,0,0,0,4,0,0,0,0,9,106,34,103,82,19,9,8,43,408
LGA19499,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
