LGA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
LGA16100,214,45,42,298,146,53,7,7,208,10,3,12,221,30,48,305,164,54,11,6,240,3,5,11,247,57,29,337,218,61,15,6,297,10,6,11,304,60,34,403,185,79,10,12,284,6,7,14,299,90,27,416,142,67,11,4,220,7,3,10,232,143,40,413,102,54,9,6,167,0,0,0,169,197,47,413,48,43,5,0,95,0,0,0,95,282,56,433,20,26,0,8,60,0,0,0,60,413,66,541,1557,700,124,70,2452,60,31,89,2539,1565,525,4626
LGA16150,2465,328,173,2966,1395,542,56,16,2004,29,33,58,2069,296,134,2499,1550,477,46,22,2099,40,16,54,2154,347,142,2643,1371,486,55,15,1933,32,9,44,1974,370,119,2466,1160,466,68,17,1708,23,26,47,1759,519,137,2408,819,512,65,13,1404,18,22,42,1440,825,102,2367,291,330,35,13,663,3,11,16,674,1360,105,2137,99,190,21,8,310,0,7,6,321,1658,142,2114,33,92,4,10,144,0,0,0,146,3065,356,3561,12940,6343,876,292,20446,379,366,748,21195,10891,2044,34134
LGA16200,614,117,63,791,399,136,11,10,553,21,12,37,588,120,71,771,435,151,25,13,612,17,14,28,644,103,62,807,451,149,21,5,635,14,9,25,658,148,57,868,407,186,34,7,625,10,8,16,646,227,74,949,307,178,20,5,512,11,10,20,533,361,70,968,120,107,13,3,245,0,6,13,256,530,59,839,63,56,4,0,127,0,0,0,123,535,51,708,44,34,10,10,91,0,0,0,90,1218,128,1431,3947,1882,261,101,6197,200,131,336,6528,4017,879,11429
LGA16260,20464,4468,1252,26187,9671,3257,1142,221,14287,495,217,712,15003,3408,941,19343,7452,2736,999,135,11330,344,164,507,11839,3093,661,15589,6061,2387,954,95,9500,307,148,454,9955,3042,511,13506,5070,2140,970,118,8300,271,140,416,8712,3763,479,12955,3182,1792,762,69,5809,214,175,383,6198,5154,492,11834,1293,1024,382,34,2728,71,73,142,2873,6846,415,10135,364,465,169,22,1022,18,17,35,1061,6679,317,8052,104,242,68,27,440,3,15,13,457,12635,921,14007,74165,33328,13303,2246,123037,4436,3040,7470,130510,69297,10281,210087
LGA16350,13131,2838,930,16905,7464,2796,859,162,11285,261,126,381,11666,2378,823,14869,7121,2447,791,164,10527,247,86,338,10856,2408,725,13990,6180,2254,770,130,9335,231,87,319,9653,2549,668,12864,5163,2095,756,107,8120,222,79,302,8420,2932,578,11928,3540,1950,682,81,6255,183,100,286,6538,4437,434,11407,1285,951,313,33,2579,38,40,76,2657,6266,430,9349,281,375,120,17,798,8,9,17,808,6785,473,8067,77,153,46,19,301,0,5,7,308,9195,1377,10879,60248,28740,11220,1885,102094,3073,1806,4881,106975,54453,10121,171550
LGA16380,3451,571,228,4255,2214,1156,112,43,3534,59,45,103,3632,573,186,4397,2690,1200,121,53,4062,82,49,130,4194,686,187,5070,2558,1316,148,47,4072,87,63,151,4220,941,216,5382,2164,1438,217,50,3863,89,66,158,4028,1450,240,5715,1445,1473,179,39,3131,69,105,173,3306,2810,242,6356,540,752,105,8,1409,25,35,60,1467,4705,268,6448,158,358,29,18,566,0,20,18,584,5836,323,6742,57,193,16,38,306,4,10,13,319,10802,980,12104,19259,14061,1723,553,35597,887,902,1789,37384,31821,3698,72905
LGA16400,3186,566,181,3939,1864,967,149,54,3028,74,45,115,3147,606,193,3941,2252,1098,148,57,3564,95,47,142,3705,692,219,4616,2134,1072,197,47,3448,91,47,136,3584,861,213,4655,1988,1218,244,45,3496,76,58,126,3620,1334,233,5190,1223,1082,209,30,2546,71,63,131,2678,2649,249,5574,439,564,94,15,1105,14,17,32,1136,4141,285,5564,97,252,42,9,402,0,17,17,415,4777,298,5492,46,138,18,12,214,0,5,9,222,7366,839,8433,16790,11384,2232,580,30986,923,705,1632,32614,26308,3465,62387
LGA16490,4215,355,228,4799,2697,752,137,47,3628,64,22,88,3720,287,195,4206,2972,662,121,36,3789,59,28,88,3879,388,190,4458,2994,768,157,38,3959,61,30,88,4051,496,187,4742,2289,730,146,33,3201,51,18,75,3276,819,232,4327,1251,692,117,23,2082,40,30,72,2151,1359,187,3699,502,400,53,18,972,18,26,41,1010,1748,148,2910,158,210,13,4,390,7,15,21,402,1817,148,2374,61,113,5,7,187,5,0,4,189,2830,231,3252,23555,9123,1630,485,34789,622,474,1096,35883,12475,2586,50943
LGA16550,8824,1318,588,10734,5326,1884,403,88,7705,159,82,238,7944,1190,484,9613,4994,1738,365,70,7166,193,82,278,7443,1198,409,9051,4341,1695,324,54,6417,158,70,229,6643,1392,375,8412,3354,1554,364,72,5345,133,83,211,5557,1672,333,7566,2004,1343,281,38,3663,96,69,169,3838,2423,263,6521,850,836,190,21,1897,30,22,56,1957,3403,260,5618,268,413,115,21,814,6,25,33,846,3912,291,5044,104,223,52,19,405,3,10,14,415,8578,1289,10281,42675,19636,5753,1010,69077,1627,1456,3083,72162,34775,6647,113579
LGA16610,803,187,133,1120,540,276,29,13,859,23,8,32,890,176,139,1211,594,297,43,21,953,18,14,39,994,255,161,1404,599,324,28,14,969,27,12,36,1005,301,101,1406,566,372,46,16,995,23,12,35,1034,453,133,1622,392,353,59,18,813,23,22,49,862,715,127,1709,171,207,34,10,421,7,10,15,429,1137,134,1706,52,83,12,8,154,0,0,5,156,1331,104,1588,40,63,10,21,132,0,0,0,132,2157,333,2616,4999,3428,469,226,9119,258,193,449,9571,7810,1872,19254
LGA16700,9743,1657,505,11908,5171,1753,418,95,7430,205,88,298,7727,1276,355,9359,4288,1457,344,73,6154,208,67,275,6431,1220,259,7907,3650,1408,372,52,5481,158,62,222,5707,1353,267,7329,3065,1420,378,59,4930,150,74,224,5144,1894,273,7308,1918,1192,338,42,3494,112,94,206,3703,2730,246,6680,727,735,202,23,1682,38,31,66,1751,3759,189,5692,251,337,73,6,669,3,16,23,694,3906,206,4802,54,169,36,7,270,0,9,9,271,7808,859,8945,40389,18269,5902,1004,65564,2014,1484,3495,69053,34314,4781,108154
LGA16900,3931,647,204,4785,2200,1062,282,45,3591,75,33,113,3701,645,206,4554,2372,1136,297,48,3850,82,41,121,3973,788,198,4958,2108,1070,305,37,3521,65,30,94,3611,954,147,4718,1843,1014,297,36,3188,67,41,108,3294,1421,169,4888,1081,819,244,24,2165,34,44,79,2245,2364,169,4781,321,369,128,16,831,10,16,23,856,3088,152,4098,63,140,31,9,243,6,0,5,253,3284,191,3730,23,44,17,7,89,0,0,5,90,5289,771,6149,18795,11455,3728,547,34522,912,656,1565,36088,22532,3034,61655
LGA16950,4308,982,372,5665,2469,1354,162,56,4047,114,57,169,4217,915,333,5465,2695,1398,171,72,4325,99,51,154,4482,1020,394,5900,2700,1557,203,61,4527,100,56,153,4684,1355,359,6397,2366,1861,284,73,4577,114,96,214,4788,2200,369,7366,1697,1834,280,59,3868,82,122,207,4075,4204,453,8726,547,990,142,24,1707,24,44,66,1768,6535,410,8709,172,431,43,12,662,0,16,22,687,7285,399,8373,79,198,20,31,337,8,8,8,346,11892,1094,13333,22299,16673,2517,811,42293,1209,967,2181,44471,41077,5644,91186
LGA17000,1275,197,93,1564,773,332,55,23,1189,26,9,33,1217,161,82,1462,892,315,50,24,1280,23,11,33,1312,219,95,1635,888,337,57,27,1315,22,18,40,1353,255,98,1704,708,312,64,5,1088,21,12,37,1125,397,99,1619,446,231,62,13,748,9,10,20,766,606,86,1462,148,136,28,7,318,0,9,10,328,797,59,1181,61,73,10,0,144,0,0,0,147,751,67,974,31,42,0,3,86,0,0,0,86,1213,92,1385,7534,3592,720,259,12105,250,219,467,12574,5655,1265,19501
LGA17040,1004,192,100,1296,654,248,24,9,936,14,5,23,965,146,73,1181,807,308,40,12,1164,12,11,23,1191,159,102,1448,808,335,45,17,1207,15,11,28,1232,217,115,1564,759,354,42,12,1170,19,11,27,1196,274,107,1570,564,323,58,7,959,26,15,45,994,497,113,1614,220,213,19,9,463,3,3,6,470,710,92,1273,107,133,8,5,254,0,6,6,260,818,98,1175,80,87,12,15,190,0,4,4,189,1471,166,1829,6589,3826,455,198,11068,175,141,320,11382,5341,1390,18112
LGA17080,653,135,69,859,405,177,15,10,611,17,10,24,637,136,63,835,484,178,19,10,693,20,9,33,717,127,66,911,443,196,21,17,674,8,7,16,693,167,68,925,476,209,40,18,738,20,7,34,770,214,67,1050,398,212,44,14,662,13,9,19,682,399,78,1159,167,145,22,5,342,4,8,11,354,592,54,1001,62,79,13,5,157,0,4,4,158,680,77,912,40,45,12,10,110,0,0,0,112,1262,171,1549,3960,2133,311,143,6549,177,112,289,6842,4388,919,12150
LGA17100,3010,694,260,3967,1249,508,153,40,1952,60,32,87,2044,482,150,2673,1031,449,135,27,1636,62,36,101,1738,499,106,2342,923,448,141,26,1536,50,18,67,1602,499,88,2195,853,480,123,23,1486,44,30,71,1553,659,100,2319,581,360,120,13,1073,49,25,75,1145,853,79,2074,265,207,41,3,520,15,13,27,550,1081,69,1695,91,143,32,6,269,0,4,4,275,959,44,1275,34,89,15,5,147,6,0,0,153,2261,137,2547,12843,7383,2047,530,22795,827,746,1566,24366,12265,2195,38823
LGA17150,13196,1512,524,15234,8418,3672,813,129,13032,179,92,271,13306,1591,452,15347,9102,3810,915,108,13936,219,102,324,14259,1771,460,16490,8301,3474,852,106,12732,225,87,318,13048,1924,439,15413,6671,3373,969,110,11125,215,130,341,11469,2782,364,14614,4299,3073,814,65,8249,147,140,286,8531,5092,330,13958,1623,1813,496,46,3977,30,71,100,4080,7717,318,12113,476,879,195,12,1566,5,26,27,1599,8862,371,10827,173,457,110,29,765,3,14,17,781,17647,1865,20295,67629,36744,11778,1292,117444,1980,1761,3742,121182,59740,6756,187676
LGA17200,19263,2836,1519,23614,8877,2450,719,126,12175,414,155,566,12745,1989,1112,15841,6551,1813,479,70,8918,392,123,516,9434,1764,844,12046,5391,1604,494,52,7546,330,130,466,8007,2014,781,10800,4086,1559,411,51,6100,279,118,396,6497,2432,672,9599,2466,1392,319,49,4224,172,108,285,4507,3223,610,8347,1039,990,158,25,2209,66,68,136,2347,3863,516,6726,404,586,102,14,1104,8,26,34,1137,4083,430,5656,131,338,40,17,527,5,9,16,543,6359,1110,8009,82867,31499,10773,1742,126888,4225,3248,7468,134357,46744,14498,195604
LGA17310,3084,461,289,3835,1931,688,76,30,2731,58,37,100,2825,450,236,3519,2034,722,78,39,2874,77,26,102,2977,458,258,3694,2041,699,93,36,2867,63,33,97,2965,551,248,3764,1758,776,119,20,2678,46,34,80,2760,823,220,3809,1236,795,109,32,2164,53,41,97,2260,1347,226,3832,554,507,61,13,1136,8,16,28,1165,2172,192,3528,182,245,38,10,474,4,3,6,479,2549,213,3242,82,139,16,35,276,0,6,6,283,4826,648,5753,18018,8919,1220,485,28644,748,592,1341,29980,16743,3640,50366
LGA17350,236,25,12,276,160,58,10,3,220,6,3,6,234,38,19,286,180,80,9,3,272,0,4,3,280,58,18,357,185,76,10,0,274,4,3,7,287,58,11,352,181,105,8,5,304,3,0,4,308,92,26,422,144,97,12,11,256,0,5,5,259,154,27,440,73,96,9,0,183,5,0,0,181,227,18,427,39,41,5,3,81,0,0,0,81,339,17,441,10,17,4,3,44,0,0,0,44,667,64,773,1591,923,107,67,2685,44,34,79,2764,1908,264,4939
LGA17400,158,61,34,253,120,70,3,5,206,10,6,15,215,68,33,316,167,74,4,4,248,10,7,20,267,93,37,399,164,79,5,0,249,16,6,22,272,105,50,423,151,91,16,16,269,18,4,21,293,157,42,493,171,132,13,13,330,15,16,27,362,270,58,701,77,106,9,4,195,0,5,5,204,476,43,719,57,52,3,3,117,0,0,0,119,481,76,672,38,44,0,5,87,0,0,0,87,660,95,840,1320,934,98,77,2431,102,72,183,2611,2684,565,5856
LGA17420,12935,1878,411,15214,9267,2923,730,141,13062,276,124,400,13454,1789,371,15616,8588,2732,638,124,12084,225,104,331,12414,1680,321,14419,7044,2467,704,95,10306,246,84,332,10633,1806,267,12706,5481,2256,598,87,8426,210,83,294,8716,2142,249,11105,3399,1861,500,75,5832,140,82,227,6055,3665,183,9903,1459,1373,329,40,3204,58,63,126,3328,5450,199,8981,451,699,149,24,1318,11,27,38,1362,6323,184,7876,158,372,63,21,614,3,11,13,629,10109,825,11565,59284,27297,8681,1220,96477,2224,1897,4119,100595,46461,4154,151213
LGA17550,4377,822,421,5623,2465,1527,194,84,4270,99,79,177,4443,699,393,5541,2777,1601,201,74,4654,106,65,168,4828,877,446,6146,2557,1547,224,68,4386,93,78,170,4558,1018,387,5966,2289,1737,253,73,4356,114,71,185,4547,1622,412,6584,1709,1750,241,63,3759,104,117,219,3984,3052,398,7432,630,988,124,29,1775,23,54,73,1850,4832,392,7080,152,357,52,14,574,5,7,13,586,5583,363,6533,77,187,24,25,314,0,9,10,325,10613,1379,12314,20343,17048,2466,828,40678,1076,1069,2143,42819,32582,5909,81307
LGA17620,721,105,57,876,476,167,17,13,675,19,4,23,697,85,47,834,515,171,32,17,733,20,4,29,765,124,62,951,450,146,22,8,627,14,9,17,643,141,48,834,429,168,35,14,648,15,7,23,670,209,64,935,327,192,34,11,564,7,9,16,583,348,65,998,180,129,17,6,342,4,0,9,347,495,51,893,60,70,4,3,142,0,0,0,143,558,50,755,38,67,4,10,120,0,0,0,117,1097,131,1351,4385,1956,276,161,6784,136,89,224,7009,3808,766,11587
LGA17640,352,51,31,434,211,106,17,7,328,3,0,3,336,42,27,405,261,116,21,9,400,4,5,9,415,63,43,519,297,143,19,3,462,6,3,16,477,81,41,602,337,153,24,5,516,13,9,20,542,164,68,773,242,155,20,6,411,6,3,7,424,250,53,734,122,96,13,9,234,0,0,5,240,329,64,630,87,64,6,4,165,0,0,0,165,369,64,603,71,48,4,5,140,0,0,0,140,662,97,897,2415,1303,201,79,3997,69,58,125,4122,2384,597,7106
LGA17650,240,38,20,294,158,92,6,0,253,7,4,5,261,32,20,310,191,90,20,4,296,4,4,8,309,52,29,386,215,78,17,8,317,5,0,10,325,74,35,439,190,107,19,3,310,3,6,12,322,103,30,458,148,99,16,3,267,6,6,10,286,175,34,494,68,57,4,0,136,3,6,8,138,277,24,442,36,42,0,0,81,0,0,0,79,308,18,403,19,28,0,3,58,0,0,0,58,434,45,541,1568,940,136,45,2688,62,57,115,2806,1771,336,4915
LGA17750,3680,532,235,4449,2205,770,85,34,3093,74,19,95,3185,397,196,3780,2205,726,63,35,3024,48,34,80,3104,454,204,3766,2132,713,99,38,2967,60,20,78,3052,542,193,3789,1839,740,102,33,2724,40,27,67,2790,700,173,3665,1341,769,90,19,2227,45,29,79,2303,1238,185,3729,521,482,72,17,1091,12,25,35,1124,1985,178,3288,122,253,22,17,408,3,5,12,417,2231,168,2812,65,125,21,34,247,0,5,5,247,4357,491,5090,20907,10498,1309,569,33283,749,652,1397,34679,15989,3187,53857
LGA17850,100,17,6,128,80,30,0,0,109,0,4,0,114,12,12,134,104,30,4,0,139,0,3,3,144,25,18,184,100,30,3,5,135,4,0,4,136,25,16,178,118,45,6,3,158,0,0,3,168,32,27,220,88,47,9,4,140,4,3,7,149,70,18,240,73,41,0,0,116,0,0,3,118,117,24,255,37,25,4,6,71,0,0,0,71,126,24,230,19,27,8,4,58,0,0,0,58,299,56,403,873,426,45,34,1379,24,21,43,1419,830,257,2508
LGA17900,152,29,68,252,83,42,0,6,133,8,5,14,144,41,79,262,93,29,3,0,139,8,5,9,145,65,74,282,130,48,3,3,183,11,10,20,199,68,102,373,128,42,0,0,169,3,8,10,178,97,95,370,110,58,14,0,184,8,4,11,197,156,105,465,64,40,4,4,106,3,0,8,119,180,90,391,31,24,3,0,59,0,0,0,59,181,70,323,21,10,4,0,35,0,0,0,34,289,109,432,1060,492,82,46,1668,76,44,120,1791,1376,1119,4282
LGA17950,94,7,13,113,70,22,3,0,97,0,0,4,100,20,12,128,74,21,0,0,94,3,0,3,104,13,20,131,102,25,0,3,129,4,0,4,135,27,14,171,97,25,0,0,128,3,0,7,136,32,14,182,97,29,0,0,131,0,4,0,136,55,16,201,24,11,0,0,45,0,4,0,47,69,20,135,16,11,0,0,30,0,0,0,30,111,25,168,10,13,0,5,36,0,0,0,36,200,68,300,779,268,32,33,1106,38,19,52,1160,657,234,2056
LGA18020,291,69,62,420,195,77,5,6,280,12,5,16,297,62,47,404,217,98,9,9,327,10,8,15,344,86,65,498,241,113,15,7,379,14,7,16,396,121,86,603,261,118,15,17,412,15,7,18,430,178,103,714,213,122,19,15,369,20,6,22,390,221,81,694,108,91,14,6,218,4,3,5,221,404,96,724,55,50,7,6,123,0,0,0,123,482,100,706,57,43,4,7,116,0,0,0,116,868,226,1215,2023,1148,142,92,3401,138,83,221,3619,2968,1088,7669
LGA18050,5406,669,403,6476,2827,1001,223,54,4109,110,26,142,4245,601,292,5143,2599,982,202,40,3819,101,33,134,3953,614,194,4755,2130,831,155,29,3148,81,34,115,3266,623,211,4106,1495,723,128,29,2369,50,35,81,2452,671,160,3282,919,668,99,15,1705,41,36,72,1782,926,139,2845,383,447,84,3,921,8,25,29,952,1206,123,2286,188,299,47,7,537,10,10,17,555,1644,139,2338,67,175,30,4,276,0,6,7,285,3293,657,4232,24719,10154,2767,593,38229,862,615,1472,39699,14317,3779,57794
LGA18100,114,24,12,144,107,31,5,6,147,3,0,3,152,24,16,190,95,45,11,0,148,7,0,10,157,32,13,210,105,48,0,3,156,4,3,8,168,54,9,234,114,52,12,3,179,8,4,12,183,80,30,291,76,62,9,5,155,3,3,9,163,108,21,288,50,43,4,5,101,0,0,0,97,164,19,283,24,23,5,0,54,0,0,0,54,232,17,301,16,26,0,0,45,0,0,0,49,398,50,493,874,513,64,29,1487,42,30,73,1560,1270,219,3050
LGA18200,327,55,69,453,183,94,5,0,289,3,0,5,292,35,48,377,247,81,11,8,346,5,4,11,362,57,71,488,245,73,22,5,340,9,0,9,351,72,51,477,261,94,14,4,371,12,6,17,389,106,66,561,177,101,19,4,298,4,8,11,307,186,43,539,73,60,10,3,153,4,0,6,157,283,53,497,37,28,5,0,69,0,0,0,71,326,51,447,16,19,6,3,48,0,0,0,48,493,63,599,1992,960,162,67,3174,90,48,142,3317,1938,772,6027
LGA18250,5312,817,237,6366,3715,1094,256,57,5120,132,56,192,5307,853,207,6365,3273,1060,191,29,4553,130,67,190,4741,904,192,5837,2637,996,183,40,3851,115,38,153,4004,860,126,4993,1998,896,168,26,3088,99,59,158,3241,1045,118,4411,1170,755,158,11,2101,57,51,103,2203,1448,100,3753,529,539,105,10,1186,11,33,48,1231,2074,111,3412,204,348,57,7,616,3,12,17,631,2372,112,3113,73,189,33,5,303,3,7,4,309,4903,353,5563,23476,10618,2811,417,37312,971,760,1731,39043,20085,2207,61331
LGA18350,2226,298,120,2646,1357,689,98,37,2180,21,25,51,2228,324,137,2688,1691,831,100,29,2653,45,21,58,2718,402,141,3253,1770,826,119,45,2758,33,39,69,2833,498,170,3499,1543,898,142,36,2622,44,24,68,2687,715,177,3572,1062,904,138,31,2141,26,22,49,2189,1328,150,3664,501,698,89,22,1303,21,12,32,1339,2240,175,3751,237,406,44,13,698,0,8,9,707,3141,174,4021,131,272,24,19,443,0,6,7,456,5821,661,6927,13201,8960,1389,416,23960,376,356,733,24693,16869,2347,43908
LGA18400,2926,448,173,3550,1768,721,219,37,2748,38,25,59,2808,393,143,3348,1913,880,234,53,3076,39,17,62,3134,459,163,3759,1860,743,216,47,2862,42,15,62,2923,520,142,3587,1408,660,216,43,2333,29,15,47,2378,716,125,3215,984,600,211,22,1823,21,12,37,1855,1136,103,3096,365,340,81,15,797,12,7,16,815,1746,122,2682,109,141,40,8,300,3,3,4,303,1903,118,2320,39,77,16,9,131,0,5,5,131,2671,435,3236,15053,8186,2810,483,26528,457,328,784,27316,12808,2119,42243
LGA18450,10915,2087,575,13580,6359,3089,760,113,10325,223,123,347,10670,1974,530,13176,6812,3037,723,107,10677,245,114,360,11041,2172,567,13780,6210,2638,708,104,9655,196,109,308,9964,2645,449,13057,5228,2754,726,75,8788,193,119,313,9096,3734,450,13285,3062,2277,614,65,6019,125,127,246,6270,6077,433,12785,954,1141,293,32,2421,29,42,65,2486,8058,436,10980,248,499,87,11,843,6,21,30,879,8629,421,9926,92,214,49,15,368,4,7,6,377,16942,1743,19060,53221,33183,10308,1304,98020,2624,2398,5023,103044,65557,8258,176857
LGA18500,3193,425,193,3812,1943,636,115,43,2737,63,30,92,2833,425,144,3404,1926,619,91,44,2679,67,31,93,2773,553,127,3451,1809,671,128,43,2650,69,20,89,2736,636,165,3537,1527,652,116,21,2317,65,29,89,2405,702,116,3228,998,718,102,18,1834,33,35,65,1893,938,108,2945,589,611,69,19,1287,12,21,34,1317,1216,83,2622,364,606,60,14,1043,8,14,18,1063,1760,123,2948,181,482,72,23,750,0,6,6,764,4124,721,5606,18209,7763,1822,433,28230,583,381,963,29195,13867,2479,45542
LGA18710,924,80,33,1045,704,238,23,7,980,10,3,17,994,88,61,1132,873,249,35,9,1158,17,10,27,1183,106,48,1334,825,253,54,7,1139,18,4,24,1166,150,60,1372,596,234,41,10,876,11,9,21,897,214,54,1170,354,257,33,5,654,0,11,11,669,424,46,1132,175,155,27,8,355,6,10,10,366,579,48,993,88,95,8,4,199,0,3,3,199,647,59,904,53,80,6,3,144,0,0,0,144,1014,108,1276,5684,2761,441,120,9001,123,135,254,9256,3937,667,13862
LGA19399,59,4,8,66,43,14,3,5,62,3,0,3,64,14,4,80,40,24,4,0,66,0,5,5,66,4,3,75,36,7,0,5,49,0,0,0,49,5,4,65,35,21,3,0,60,0,0,0,64,5,6,79,37,20,3,0,51,0,0,0,57,22,9,86,19,14,3,0,44,0,0,0,44,27,10,72,16,7,0,0,20,0,0,0,20,26,12,62,16,9,0,0,18,0,0,0,20,47,14,78,342,166,41,11,556,3,12,16,572,192,76,840
LGA19499,344,221,388,954,123,64,27,7,221,47,20,71,293,223,384,902,117,62,26,3,219,49,14,62,282,247,341,877,90,72,23,13,195,36,16,56,247,263,290,801,98,71,26,11,207,21,14,37,245,313,283,844,55,63,14,6,134,23,20,46,174,456,175,808,22,36,5,3,68,11,3,10,79,418,142,637,3,15,0,0,19,0,0,5,21,337,54,415,4,0,0,5,6,0,0,4,8,248,73,323,1229,910,284,87,2511,419,224,647,3161,3630,3319,10112
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
