UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL121095,39,0,3,0,0,0,0,45
UCL121096,60,7,6,0,0,0,0,76
UCL121097,86,9,3,0,0,0,0,93
UCL121098,50,4,3,0,0,0,0,52
UCL121099,90,8,4,0,0,0,0,102
UCL121100,115,11,7,0,0,0,3,134
UCL121101,70,0,6,0,0,0,0,76
UCL121102,76,9,4,0,0,0,0,89
UCL121103,67,4,6,4,0,0,3,77
UCL121104,28,3,6,0,0,0,0,43
UCL121105,51,7,3,0,0,0,0,62
UCL121106,81,9,4,0,0,0,0,91
UCL121107,61,12,6,0,0,0,3,78
UCL121108,56,3,3,0,0,0,0,65
UCL121109,79,3,6,0,0,0,0,92
UCL121110,38,3,3,0,0,0,0,44
UCL121111,90,4,3,0,0,0,0,101
UCL121112,54,7,0,0,0,0,0,57
UCL121113,68,10,4,0,0,0,0,80
UCL121114,26,8,3,0,0,0,0,31
UCL121115,140,5,8,4,0,0,0,159
UCL121116,51,6,5,3,0,0,0,63
UCL121117,99,3,7,5,0,0,0,110
UCL121118,37,3,3,0,0,0,0,42
UCL121119,69,3,3,3,0,0,0,82
UCL121120,43,6,3,0,0,0,0,56
UCL121121,40,6,11,0,0,0,0,59
UCL121122,69,4,3,0,0,0,0,81
UCL121123,47,5,3,0,0,0,0,59
UCL121124,34,9,3,0,0,0,0,49
UCL121125,79,6,3,0,0,0,0,91
UCL121126,119,13,13,0,0,0,0,153
UCL122001,31,0,4,0,0,0,0,38
UCL122002,13,0,0,0,0,0,0,16
UCL122003,39,0,7,0,0,0,0,45
UCL122004,20,0,0,0,0,0,0,20
UCL122005,19,3,0,0,0,0,0,26
UCL122006,16,0,0,0,0,0,0,19
UCL122007,20,3,3,0,0,0,0,30
UCL122008,19,3,3,0,0,0,0,24
UCL122009,24,0,4,0,0,0,0,29
UCL122010,40,4,3,0,0,0,0,47
UCL122011,41,4,0,0,0,0,0,52
UCL122012,24,3,4,0,0,0,0,29
UCL122013,6,3,3,0,0,0,0,11
UCL122014,28,0,3,0,0,0,0,31
UCL122015,26,0,4,0,0,0,0,27
UCL122016,12,0,0,0,0,0,0,12
UCL122017,25,0,3,0,0,0,0,29
UCL122018,30,0,0,0,0,0,0,34
UCL122019,22,0,3,0,0,0,0,24
UCL122020,19,3,4,0,0,0,0,28
UCL122021,4,3,0,0,0,0,0,9
UCL122022,20,0,0,0,0,0,0,23
UCL122023,49,0,3,0,0,0,0,56
UCL122024,43,3,0,0,0,0,0,44
UCL122025,40,0,3,0,0,0,0,45
UCL122026,21,3,3,0,0,0,0,32
UCL122027,46,0,0,0,0,0,0,46
UCL122028,22,6,3,0,0,0,0,26
UCL122029,10,0,0,0,0,0,0,9
UCL122030,24,6,0,0,0,0,0,30
UCL122031,15,3,0,0,0,0,0,21
UCL122032,23,0,3,0,0,0,0,31
UCL122033,54,3,0,0,0,0,0,54
UCL122034,38,6,0,0,0,0,0,50
UCL122035,10,3,0,0,0,0,0,10
UCL122036,27,3,0,0,0,0,3,33
UCL122037,21,0,0,0,0,0,0,21
UCL122038,17,0,3,0,0,0,0,22
UCL122039,23,0,0,5,0,0,0,34
UCL122040,25,4,0,0,0,0,0,34
UCL122041,36,8,0,0,0,0,0,41
UCL122042,26,4,0,0,0,0,0,38
UCL122043,33,9,4,3,0,0,0,45
UCL122044,38,3,0,0,0,0,0,43
UCL122045,10,0,0,0,0,0,0,13
UCL122046,25,4,0,0,0,0,0,32
UCL122047,27,0,0,0,0,0,0,27
UCL122048,29,4,0,0,0,0,0,27
UCL122049,12,3,0,0,0,0,0,17
UCL122050,17,3,0,0,0,0,0,25
UCL122051,12,4,0,0,0,0,0,24
UCL122052,42,0,0,0,0,0,0,43
UCL122053,14,0,0,0,0,0,0,15
UCL122054,20,3,3,0,0,0,0,24
UCL122055,27,5,3,0,0,0,0,30
UCL122056,32,3,0,3,0,0,0,34
UCL122057,27,3,0,0,0,0,0,26
UCL122058,19,6,7,0,0,0,0,28
UCL122059,45,4,3,0,0,0,0,50
UCL122060,28,7,3,0,0,0,3,39
UCL122061,38,8,4,0,0,0,0,48
UCL122062,12,0,3,3,0,0,0,13
UCL122063,29,0,0,0,0,0,0,30
UCL122064,27,7,4,0,0,0,0,35
UCL122065,16,0,0,0,0,0,0,23
UCL122066,63,4,0,0,0,0,0,69
UCL122067,47,5,0,0,0,0,0,52
UCL122068,21,0,0,0,0,0,0,21
UCL122069,46,3,3,3,0,0,0,54
UCL122070,37,9,0,0,0,0,0,50
UCL122071,9,0,0,0,0,0,0,9
UCL122072,25,3,0,0,0,0,0,33
UCL122073,59,0,0,0,0,0,0,60
UCL122074,13,0,3,0,0,0,0,10
UCL122075,8,0,0,0,0,0,0,11
UCL122076,36,3,4,0,0,0,0,43
UCL122077,13,0,0,0,0,0,0,13
UCL122078,29,0,3,0,0,0,0,39
UCL122079,14,5,0,0,0,0,0,21
UCL122080,17,3,0,0,0,0,3,26
UCL122081,33,0,0,0,0,0,0,33
UCL122082,20,3,4,0,0,0,0,32
UCL122083,12,0,0,0,0,0,0,10
UCL122084,29,0,3,0,0,0,0,33
UCL122085,49,3,3,0,0,0,0,53
UCL122086,30,3,0,0,0,0,0,35
UCL122087,64,4,4,0,0,0,0,71
UCL122088,17,0,0,0,0,0,0,21
UCL122089,26,0,0,0,0,0,0,29
UCL122090,40,3,6,0,0,0,3,49
UCL122091,5,0,0,0,0,0,0,8
UCL122092,34,0,3,0,0,0,0,41
UCL122093,19,3,0,0,0,0,0,26
UCL122094,14,0,0,0,0,0,0,18
UCL122095,15,0,0,0,0,0,6,25
UCL122096,13,0,0,0,0,0,0,15
UCL122097,18,0,4,0,0,0,0,25
UCL122098,35,4,3,0,0,0,0,38
UCL122099,37,3,0,0,0,0,0,38
UCL122100,17,0,0,0,0,0,0,23
UCL122101,36,3,4,0,0,0,0,43
