UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL115071,292,0,3,4,0,299,242,6,0,6,0,247,133,12,16,0,0,158,9,0,4,0,0,14,6,8,0,0,0,12,34,0,0,0,0,35,7,0,0,0,4,10,0,0,0,0,0,0,187,17,18,3,4,228,9,0,0,0,0,12,17,0,0,0,0,18,742,21,22,12,3,800
UCL115072,364,0,0,0,0,368,254,0,0,3,0,254,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,3,0,0,0,0,3,7,0,0,0,0,7,655,0,0,4,0,662
UCL115073,314,0,13,4,0,339,179,5,5,0,0,184,74,5,26,0,0,102,21,0,6,0,0,28,0,0,0,0,0,0,45,0,3,0,0,55,11,0,3,0,0,14,0,0,0,0,0,4,147,9,47,0,0,198,14,0,0,0,0,20,13,0,0,0,0,14,667,6,69,10,4,758
UCL115074,307,3,0,0,0,312,182,0,0,0,0,181,112,6,16,0,0,128,13,0,0,0,0,11,3,0,0,0,0,3,45,3,0,0,0,47,11,0,0,3,0,9,0,0,0,0,0,0,173,14,16,3,0,209,16,0,0,0,0,16,18,0,0,15,0,31,696,18,16,21,0,746
UCL115075,206,13,3,9,0,235,82,3,3,0,0,86,28,11,12,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,0,16,6,0,0,0,0,11,0,0,0,0,0,0,46,13,9,0,0,76,102,0,0,0,0,102,4,0,0,0,0,4,443,31,18,7,0,510
UCL115076,328,9,0,11,0,347,221,3,0,0,0,226,56,0,4,6,0,65,5,0,0,0,0,11,9,0,0,0,0,9,45,0,4,0,0,53,3,0,4,3,0,14,0,0,0,0,0,0,126,0,13,5,0,148,14,3,0,3,0,16,27,0,0,0,0,31,708,19,13,20,0,764
UCL115077,854,71,18,35,0,972,209,11,0,3,0,224,147,34,45,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,26,8,6,0,0,35,5,0,0,7,0,11,0,0,0,0,0,5,184,40,53,3,0,280,17,0,0,0,0,20,17,0,0,0,0,24,1273,120,74,51,0,1517
UCL115078,284,33,14,0,0,334,72,8,5,0,0,86,59,47,19,0,6,131,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,74,56,26,0,6,156,13,0,0,0,0,13,9,0,0,4,5,16,452,105,44,4,10,609
UCL115079,356,6,0,3,0,374,195,0,0,0,0,202,75,27,5,0,0,111,30,3,0,0,0,30,0,5,0,0,0,5,81,14,0,0,0,97,23,4,0,0,0,27,0,6,0,0,0,7,209,56,12,0,0,280,17,0,0,0,0,17,26,4,0,0,0,32,813,75,12,3,4,899
UCL115080,191,0,3,0,0,191,476,0,0,0,0,479,85,0,0,0,0,92,0,0,0,0,0,0,3,0,0,0,0,3,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,114,6,0,0,0,0,5,13,0,0,0,0,13,798,0,4,0,0,802
UCL115081,132,0,0,5,0,133,85,0,0,4,0,93,28,0,0,0,0,25,12,0,4,0,0,13,9,0,5,0,0,7,69,0,6,3,0,77,20,0,5,3,4,30,4,0,0,0,0,4,127,0,23,5,8,160,7,0,0,0,0,7,16,0,0,4,0,13,369,0,23,15,7,409
UCL115082,238,0,0,0,0,242,151,0,0,0,0,151,38,14,0,0,0,56,0,8,0,0,0,8,5,5,0,0,0,10,48,0,0,0,0,48,5,0,0,0,0,6,0,0,0,0,0,0,99,29,0,0,0,129,8,0,0,0,0,8,13,0,0,0,0,13,493,28,0,3,0,529
UCL115083,426,17,0,3,0,453,383,0,0,0,0,385,116,31,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,0,47,5,0,0,0,0,13,0,0,0,0,0,0,159,42,0,3,0,209,8,0,0,0,0,8,21,0,0,0,0,19,1005,60,3,13,0,1080
UCL115084,359,34,3,58,0,449,87,17,0,0,0,108,89,51,12,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,51,18,8,0,0,78,4,3,0,4,0,15,0,0,0,0,0,0,149,69,22,11,0,252,8,0,0,5,0,14,15,6,0,0,0,23,613,126,37,73,3,852
UCL115085,217,5,0,0,0,229,143,3,0,0,0,149,24,8,3,0,0,34,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,38,12,3,0,0,52,4,0,0,0,0,4,0,0,0,0,0,5,409,20,3,0,6,439
UCL115086,113,24,45,0,3,185,125,35,61,0,0,218,57,50,130,0,0,238,4,0,0,0,0,6,5,0,0,0,0,5,35,16,43,0,0,88,10,8,32,0,3,52,0,0,0,0,0,0,111,69,202,0,5,394,4,0,9,0,0,9,9,8,7,0,0,18,370,126,317,0,11,825
UCL115087,122,5,0,0,0,130,214,3,0,0,0,218,49,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,74,4,0,0,0,83,0,0,0,0,0,0,5,0,0,0,0,5,423,16,0,0,0,434
UCL115088,283,11,3,0,0,295,174,3,0,0,0,175,66,7,4,0,0,76,3,0,0,0,0,3,7,0,0,0,0,6,27,5,0,0,0,33,0,0,0,0,0,0,0,0,5,0,0,5,100,8,9,0,0,113,0,0,0,0,0,0,4,0,0,0,0,4,562,23,7,0,0,595
UCL115089,549,4,8,3,0,561,459,4,0,9,0,472,269,14,39,0,0,324,34,4,11,0,0,47,0,5,5,0,0,9,75,0,0,0,0,78,7,0,0,0,0,11,0,3,0,0,0,0,382,20,58,3,3,465,10,0,0,0,0,10,30,3,3,0,0,35,1430,31,64,14,5,1547
UCL115090,271,0,0,0,0,278,98,0,0,3,0,100,82,14,9,3,0,107,23,0,0,0,0,23,5,0,0,0,0,5,27,0,0,0,0,31,5,0,0,0,0,6,3,0,0,0,0,3,144,18,9,3,0,170,16,0,0,0,0,10,21,0,0,0,0,17,544,18,11,5,0,575
UCL115091,246,11,0,11,0,272,161,0,0,0,0,169,45,3,0,0,0,46,8,0,0,0,0,6,11,0,3,0,0,12,29,0,0,0,0,33,4,0,0,0,0,10,0,0,0,0,0,0,94,8,7,6,0,113,10,0,0,0,0,11,9,0,0,3,0,11,522,20,7,20,0,572
UCL115092,220,5,0,0,0,225,234,0,0,0,0,235,132,19,5,0,0,152,0,0,0,0,0,0,0,0,5,0,0,10,38,3,3,0,0,47,5,0,3,0,0,11,3,0,0,0,0,3,178,22,21,0,0,223,5,0,4,0,0,5,0,0,3,0,0,7,639,28,33,0,0,697
UCL115093,185,0,0,0,0,182,175,0,0,0,0,179,36,0,6,4,0,43,0,0,0,0,0,0,0,7,0,0,0,7,8,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,44,9,9,4,0,65,0,3,0,0,0,3,0,0,0,0,0,0,406,12,11,0,0,434
UCL115094,489,0,19,10,0,514,264,0,0,0,0,268,136,3,39,4,0,184,26,0,3,0,0,32,0,0,0,0,0,0,78,0,18,6,0,97,4,0,0,0,0,6,0,0,0,0,0,4,244,3,57,11,0,323,15,0,6,0,0,20,21,0,6,0,0,25,1031,3,86,20,0,1147
UCL115095,165,0,0,0,0,168,87,0,0,0,0,86,18,0,0,0,0,17,25,0,5,0,0,34,13,0,6,0,0,23,40,0,16,0,3,56,19,0,7,0,0,23,3,0,0,0,0,5,116,0,38,0,3,154,9,0,0,0,0,8,9,0,0,0,0,8,380,0,44,0,7,426
UCL115096,809,28,15,0,0,852,422,16,0,0,0,440,149,36,31,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,40,3,5,0,0,54,10,0,0,0,0,6,0,0,0,0,0,0,202,44,41,0,0,287,27,0,7,0,0,30,23,4,0,0,0,24,1482,92,61,0,0,1636
UCL115097,445,37,0,0,0,480,292,11,0,3,0,309,157,41,12,3,0,212,0,0,0,0,0,0,0,0,0,0,0,0,43,10,0,0,0,56,4,0,0,8,0,11,4,0,0,0,0,4,209,47,12,13,0,284,13,0,0,0,0,17,14,3,0,0,0,18,967,101,15,18,0,1101
UCL115098,137,0,0,14,30,180,60,0,0,0,5,66,26,4,4,0,0,27,14,10,0,0,4,24,35,11,0,0,0,44,43,4,0,0,5,48,16,9,0,3,0,34,0,0,0,0,0,0,127,29,9,10,7,182,19,0,0,0,5,19,6,0,0,5,0,10,351,31,13,29,46,470
UCL115099,473,16,9,0,0,499,285,5,4,0,0,292,149,18,15,9,0,191,23,5,0,0,0,25,44,9,0,0,0,43,71,0,0,0,0,73,7,4,0,0,0,5,3,0,0,0,0,3,289,30,14,6,0,349,20,0,0,0,0,15,26,9,0,0,0,33,1086,60,25,15,3,1188
UCL115100,458,25,8,4,0,496,192,7,3,6,0,209,153,19,16,0,0,186,10,4,0,0,0,14,29,7,0,0,0,36,59,0,7,0,0,69,9,0,0,15,0,22,3,0,0,0,0,3,258,29,30,16,0,335,20,0,0,0,0,25,27,6,3,0,0,39,962,79,42,15,4,1103
UCL115101,494,3,7,0,0,504,263,3,0,0,0,266,102,0,6,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,55,0,0,0,0,0,4,0,0,0,0,0,0,156,5,13,0,0,168,10,0,0,0,0,10,15,0,0,0,0,16,934,10,16,0,0,963
UCL115102,350,0,0,3,0,352,199,0,0,3,0,203,135,30,0,0,0,162,4,0,0,0,0,4,0,0,0,0,0,0,55,5,0,0,0,55,9,0,0,0,0,9,4,0,0,0,0,5,193,38,0,0,0,235,9,0,0,0,0,8,30,0,0,0,0,30,778,38,0,5,0,823
UCL115103,159,0,0,4,0,160,98,0,0,0,0,98,61,14,0,0,0,76,0,6,0,0,0,9,0,0,0,0,0,3,22,3,0,0,0,25,3,0,0,0,0,4,0,0,0,0,0,0,95,19,4,0,0,113,4,0,0,0,0,4,9,0,0,0,0,13,367,20,4,4,0,393
UCL115104,266,4,3,4,0,278,161,0,0,0,0,169,48,8,0,0,0,56,0,5,0,0,0,5,4,0,0,0,0,5,31,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,78,17,3,0,0,101,7,0,6,0,0,19,6,0,0,0,0,6,525,25,16,4,0,570
UCL115105,206,3,0,10,0,229,180,6,0,16,0,204,89,5,9,0,0,101,0,0,0,0,0,4,5,4,5,0,0,9,39,0,0,5,0,39,7,0,0,0,0,9,0,0,0,0,0,0,132,14,13,3,0,167,6,3,4,0,0,14,11,0,0,0,0,16,537,27,25,32,0,628
UCL115106,432,25,0,6,0,463,276,3,0,0,0,284,88,22,12,6,0,131,34,33,0,0,0,69,3,15,0,0,0,23,74,5,0,0,0,87,5,0,0,0,0,5,3,3,0,0,0,3,212,78,14,6,0,316,15,6,0,0,0,22,18,10,0,0,0,29,957,121,14,19,5,1119
UCL115107,469,14,20,0,0,504,374,9,13,0,0,400,154,16,16,0,0,182,11,0,0,0,0,14,14,3,10,0,0,24,135,10,30,0,4,179,9,0,0,0,0,10,0,0,0,0,0,3,324,27,56,0,3,416,17,0,0,0,0,19,17,0,0,0,0,16,1199,57,84,7,3,1354
UCL115108,160,0,0,0,0,160,463,0,0,0,0,464,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,29,4,0,0,0,0,4,3,0,0,0,0,3,658,0,0,0,0,660
UCL115109,632,103,39,63,3,837,253,6,6,0,0,267,96,35,55,0,0,184,30,26,0,0,0,60,0,9,0,0,0,12,72,16,15,0,0,98,5,0,0,3,0,19,6,3,0,0,0,8,210,92,66,10,0,378,16,5,0,6,0,24,23,0,4,3,0,30,1129,208,112,81,8,1539
UCL115110,542,5,0,0,4,552,420,0,0,8,0,433,160,19,43,0,0,222,35,5,0,0,0,42,4,0,0,0,0,11,124,3,0,0,0,131,21,0,0,0,0,24,0,0,4,0,0,7,355,27,47,4,0,436,17,0,0,0,0,15,34,3,3,0,0,39,1369,38,51,14,3,1478
UCL115111,490,15,0,0,0,504,368,0,0,0,0,366,136,31,17,0,0,191,38,7,0,0,0,46,3,17,0,0,0,21,76,4,0,0,0,79,13,0,0,0,0,12,0,3,0,0,0,3,265,67,17,3,3,352,15,0,0,0,0,18,22,0,4,0,0,24,1161,80,21,3,6,1275
UCL115112,113,0,0,0,0,110,362,0,0,0,0,365,253,19,8,0,4,283,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,267,19,8,0,4,299,8,0,0,0,0,8,10,0,0,0,0,10,754,22,8,0,4,789
UCL115113,259,9,0,3,0,267,167,0,0,0,0,172,36,4,0,0,0,37,29,13,0,0,0,35,12,8,0,0,0,16,66,15,0,0,3,84,36,12,0,0,0,52,5,0,0,0,0,3,178,43,6,0,3,231,11,0,0,0,0,15,27,0,0,0,3,30,640,47,6,3,9,711
UCL115114,350,4,0,0,0,360,278,0,0,0,0,277,146,53,17,0,4,218,21,5,0,0,0,21,0,7,0,0,0,14,49,3,0,0,0,53,9,0,0,4,0,13,0,0,0,0,0,0,222,69,17,4,0,322,13,0,0,0,0,20,14,0,0,0,0,20,882,76,26,10,0,994
UCL115115,615,38,40,0,0,689,509,45,32,0,0,585,177,51,38,0,0,264,3,3,0,0,0,7,5,0,7,0,0,12,159,21,24,0,0,209,4,0,0,0,0,6,0,0,0,0,0,0,352,77,75,0,0,505,27,0,3,0,0,33,26,3,4,0,0,34,1525,170,149,0,6,1855
UCL115116,703,113,5,5,0,821,429,32,4,0,0,463,281,98,44,7,0,431,0,0,0,0,0,0,0,0,0,0,0,6,55,14,9,0,0,73,3,4,0,0,0,4,0,0,0,0,0,0,339,121,51,7,3,515,17,29,0,0,0,42,32,17,0,0,0,45,1515,304,64,6,3,1890
UCL115117,137,141,0,0,0,276,154,14,0,0,0,165,62,0,3,0,0,69,0,0,0,0,0,3,0,6,0,0,0,6,27,0,0,0,0,35,0,11,0,0,0,12,0,0,0,0,0,0,97,13,4,0,0,110,3,154,0,0,0,159,11,8,0,0,0,22,407,327,3,0,0,739
UCL115118,261,57,8,5,0,334,150,17,0,0,0,161,43,44,7,0,0,87,4,0,0,0,0,4,0,0,0,0,0,0,28,6,0,0,0,35,0,3,0,0,0,4,0,0,0,0,0,0,74,48,7,3,4,134,9,0,0,0,0,13,7,3,0,0,0,4,496,123,17,13,0,654
UCL115119,402,28,3,0,0,432,588,15,0,7,0,617,144,28,41,22,0,231,13,9,13,0,0,30,10,9,3,0,0,18,41,0,3,0,0,41,6,0,0,0,0,6,0,0,0,0,0,0,203,41,56,22,0,326,10,0,0,0,0,11,17,0,0,0,0,19,1225,88,63,25,0,1406
UCL115120,337,3,0,8,0,350,561,0,10,0,0,568,55,0,6,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,75,3,7,0,0,88,5,0,0,0,0,10,7,0,0,0,0,7,991,6,20,7,0,1024
UCL115121,353,0,0,0,0,356,232,0,0,3,0,239,56,4,0,4,0,66,14,0,0,0,0,14,0,0,0,0,0,0,47,0,0,0,0,46,11,0,0,0,0,11,0,0,0,0,0,0,124,4,0,4,0,129,11,0,0,0,0,11,18,0,0,0,0,18,737,6,0,10,0,754
UCL115122,384,5,0,0,4,397,248,0,3,3,0,253,147,32,17,0,0,186,24,5,0,0,0,32,14,8,0,0,0,25,72,0,0,0,0,72,12,0,0,0,0,18,0,0,0,0,0,0,270,45,13,0,0,323,13,0,0,0,0,10,16,5,0,0,0,23,920,52,25,0,4,1007
UCL115123,217,0,0,0,0,221,223,0,0,0,0,225,43,0,0,6,0,44,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,6,0,71,5,0,0,0,0,5,4,0,0,0,0,8,525,0,0,5,0,531
UCL115124,509,14,0,0,4,530,657,11,0,0,0,670,222,21,9,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,94,5,3,0,0,100,8,0,0,3,0,8,0,0,0,0,0,0,323,26,9,3,0,364,12,0,0,0,0,11,26,0,0,0,0,24,1522,48,13,7,7,1599
UCL115125,500,92,4,154,48,795,313,25,0,3,0,348,95,61,3,0,0,154,0,14,0,0,0,14,0,0,0,0,0,0,43,12,3,0,0,59,5,0,0,23,0,25,0,0,0,0,0,0,143,81,9,24,0,265,17,3,4,5,3,29,12,0,3,11,0,29,983,205,16,206,52,1462
UCL115126,207,20,0,0,0,231,107,13,0,0,0,117,27,17,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,12,10,0,0,0,0,11,0,0,0,0,0,3,48,18,0,0,0,69,3,0,0,0,0,6,5,0,0,0,0,5,367,54,0,4,0,422
UCL115127,241,0,0,0,0,241,180,0,0,0,0,182,56,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,86,10,0,0,0,0,10,4,0,0,0,0,4,514,6,0,0,0,516
UCL115128,267,18,5,0,0,284,284,14,0,0,0,303,83,14,20,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,68,4,4,0,0,80,4,0,0,0,0,5,0,0,0,0,0,3,159,20,22,0,0,208,5,0,4,0,0,4,6,0,0,0,0,6,715,46,37,0,0,799
UCL115129,213,8,3,0,0,224,225,0,6,0,0,231,40,0,11,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,26,8,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,64,13,13,0,0,91,4,12,5,0,0,17,0,0,0,0,0,0,502,35,23,0,0,567
UCL115130,829,45,4,55,7,947,271,10,4,0,5,286,153,42,0,3,0,202,0,6,0,0,0,6,0,13,0,0,0,11,68,0,8,5,0,82,13,0,0,0,0,15,7,0,0,0,0,3,239,57,8,9,3,315,27,10,0,0,13,52,28,3,0,0,42,75,1392,132,17,67,65,1674
UCL115131,673,32,0,0,0,709,466,17,0,0,0,479,265,45,0,3,0,311,8,0,0,0,0,9,24,0,0,0,0,24,66,7,0,0,0,70,13,0,0,0,0,14,0,0,0,0,0,0,371,53,0,3,0,425,21,0,0,0,0,23,21,5,0,0,0,26,1546,107,0,0,0,1658
UCL115132,313,33,4,0,0,354,124,10,0,0,0,146,61,49,13,0,0,125,0,0,0,0,0,0,0,4,0,0,0,10,23,12,9,0,0,49,3,0,0,0,0,7,0,0,0,0,0,0,92,70,22,0,0,187,3,0,0,7,0,12,11,9,0,0,0,15,542,123,32,10,3,712
UCL115133,671,46,11,0,0,739,172,17,0,0,0,182,85,24,9,10,0,134,0,0,0,0,0,0,4,0,0,0,0,3,15,0,0,0,0,22,16,0,0,0,0,16,0,0,0,0,0,0,131,34,4,8,0,181,277,9,0,0,0,280,21,0,0,0,0,23,1271,104,21,11,0,1405
UCL115134,733,24,0,12,0,772,384,8,0,3,0,398,185,44,8,15,0,243,41,3,3,0,0,42,0,22,0,0,0,22,99,19,0,0,0,119,18,4,0,0,0,22,4,0,0,0,0,0,347,87,10,15,0,457,24,11,0,0,0,30,27,3,0,0,4,34,1512,135,13,30,5,1694
UCL115135,610,0,12,5,0,630,238,4,0,0,0,242,142,11,29,3,0,186,35,3,7,0,0,40,25,0,5,0,0,30,55,0,0,0,0,59,4,0,0,0,0,11,0,0,0,0,0,0,262,17,44,5,0,327,28,0,3,0,0,32,33,0,13,0,0,36,1163,20,62,16,5,1275
UCL115136,196,4,0,0,0,198,388,3,0,0,0,389,51,15,3,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,21,5,0,0,0,0,5,0,0,0,0,0,0,75,21,3,0,0,96,6,0,0,0,0,8,6,0,0,0,0,9,676,25,3,0,0,699
UCL115137,365,44,0,0,0,413,616,6,0,0,0,619,244,12,5,0,0,268,6,0,0,0,0,8,19,10,0,0,0,25,36,0,0,0,0,35,10,4,0,0,0,7,0,0,0,0,0,0,308,24,7,0,0,341,36,80,0,0,0,116,20,7,0,0,0,25,1346,160,6,0,0,1511
UCL115138,128,7,0,0,0,136,332,15,5,0,0,352,156,44,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,28,0,0,0,0,0,6,0,0,0,0,0,0,181,46,4,0,4,232,0,0,0,0,0,4,9,0,0,0,0,7,647,67,10,0,6,726
UCL115139,486,18,3,5,0,512,247,6,0,0,0,257,71,27,0,0,0,98,0,0,0,0,0,3,6,3,0,0,0,8,38,6,3,0,0,50,4,0,0,4,0,11,0,0,0,0,0,0,124,36,4,5,3,167,6,0,0,0,0,11,38,10,5,0,0,54,893,66,11,14,5,997
UCL115140,206,4,10,46,0,268,114,0,0,0,0,120,30,6,0,0,0,35,0,0,0,0,0,0,4,0,0,0,0,4,39,4,4,0,0,45,0,0,0,16,0,18,0,0,0,0,0,0,71,12,4,16,0,102,7,0,0,0,0,7,8,0,0,3,0,12,406,17,14,69,5,513
UCL115141,246,0,0,0,0,243,167,0,0,0,0,171,58,7,0,0,0,66,16,0,0,0,0,20,0,0,0,0,0,0,58,7,0,0,0,67,12,0,0,0,0,16,0,0,0,0,0,0,145,17,0,6,0,169,6,0,0,0,0,12,12,0,0,0,0,12,579,21,0,3,0,605
UCL115142,626,14,0,0,0,643,232,0,0,0,0,238,93,11,4,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,47,7,5,0,0,55,6,0,0,0,0,6,0,0,0,0,0,5,151,15,7,0,0,177,11,0,0,0,0,11,22,0,0,0,0,22,1033,38,5,0,0,1083
UCL115143,371,10,0,7,0,385,304,3,0,4,0,310,115,39,10,3,0,168,11,0,3,0,0,18,9,0,0,0,0,8,54,0,0,4,0,60,7,0,0,3,0,13,0,0,0,0,0,0,196,40,16,8,0,267,13,0,0,0,0,11,3,0,0,0,0,14,886,52,16,20,0,988
UCL115144,492,10,32,23,0,565,227,0,5,0,0,237,120,21,62,0,0,196,30,10,19,0,0,53,4,3,0,0,0,6,50,0,14,0,5,75,5,0,0,4,0,15,0,0,0,0,0,0,213,32,91,4,4,349,10,0,0,0,0,14,10,5,0,8,0,24,962,49,135,33,10,1184
UCL115145,341,6,0,9,6,358,147,10,0,0,0,156,56,19,0,0,0,80,0,0,0,0,0,0,3,0,0,0,0,3,15,3,0,0,0,19,5,0,0,0,0,12,0,0,0,0,0,0,82,21,0,0,0,106,3,0,0,0,0,5,9,0,0,0,0,9,589,37,6,4,4,635
UCL115146,568,19,22,0,0,619,260,5,13,0,0,274,137,20,28,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,39,6,4,0,0,49,8,0,0,0,0,3,0,0,0,0,0,0,181,32,40,0,0,242,7,0,0,0,0,14,11,0,0,0,0,15,1029,57,76,0,0,1157
UCL115147,146,0,0,0,0,146,148,0,0,0,0,148,85,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,18,28,0,0,0,0,28,0,0,0,0,0,0,131,8,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,425,8,0,0,0,432
UCL115148,287,0,4,0,0,289,127,0,6,0,0,130,48,5,16,9,0,75,8,0,10,0,0,16,6,0,0,0,0,9,41,0,0,0,0,44,3,0,0,0,0,7,0,0,0,0,0,0,108,5,29,9,0,149,10,0,0,0,0,10,16,0,0,0,0,14,545,0,39,9,0,598
UCL115149,71,0,0,0,0,71,53,0,0,0,0,53,19,10,0,0,0,28,27,3,0,0,0,35,3,0,0,0,0,8,29,0,4,0,0,29,44,3,9,0,0,59,0,0,0,0,0,3,130,16,9,0,3,152,8,0,4,0,0,12,3,0,0,0,0,10,264,14,14,0,6,293
UCL115150,96,0,21,25,0,143,159,0,3,0,0,159,36,0,19,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,14,0,0,0,0,0,7,0,0,0,0,0,0,50,0,26,0,0,84,4,0,0,0,0,4,5,0,0,0,0,5,315,4,51,26,0,395
UCL115151,249,7,0,3,0,268,285,0,0,9,0,292,80,12,0,0,0,95,57,0,0,0,0,57,0,0,0,0,0,0,31,4,3,3,0,37,5,0,0,0,0,3,0,0,0,0,0,0,172,12,3,4,0,194,7,0,0,0,0,10,16,0,0,0,0,12,730,27,4,17,4,777
UCL115152,231,0,0,0,0,238,105,0,0,0,0,105,44,3,0,0,0,49,0,0,0,0,0,0,4,0,0,0,0,5,39,0,0,0,0,38,5,0,0,0,0,9,0,0,0,0,0,0,98,11,8,0,0,113,6,0,0,0,0,6,19,0,3,0,0,22,461,9,10,0,0,479
UCL115153,218,11,0,0,0,230,107,0,0,0,0,115,51,14,8,0,0,70,22,4,0,0,0,23,17,8,0,0,0,24,40,0,0,0,0,42,12,3,0,0,0,16,0,0,0,0,0,0,134,38,9,0,0,183,5,0,0,0,0,4,15,0,0,0,0,18,486,43,14,3,6,554
UCL115154,185,0,0,5,0,183,156,0,0,0,0,158,29,19,0,0,0,50,25,8,0,0,0,33,6,0,3,0,0,14,66,15,0,0,0,81,14,3,0,0,5,22,0,5,0,0,0,4,143,56,3,0,5,203,11,0,0,0,0,13,8,0,0,0,0,9,498,57,3,5,3,570
