UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL115054,439,435,878,194,109,305,50,119,171,39,44,82,4,7,8,283,275,561,137,136,274,2.1,1.4,1.8,64.2,64,64.1,62.8,63,62.9,12,18,27,10,13,19,37,57,90,34,67,102,155,61,214,0,10,10,13,15,24,167,82,253,485,458,944,45,34,84,382,366,748,119,110,230
UCL115055,884,930,1814,299,148,442,122,220,343,32,34,65,19,19,36,473,413,890,384,472,858,4,4.6,4.3,53.3,44.7,48.9,51.1,42.6,46.8,14,23,36,4,23,28,63,89,150,50,84,132,269,138,409,11,4,18,12,34,44,295,180,475,874,904,1774,133,140,274,659,664,1324,314,337,650
UCL115056,1309,1409,2714,354,203,557,159,303,460,50,63,107,39,28,71,601,597,1194,582,688,1269,6.8,4.7,5.8,45.9,42.2,44,42.7,40.2,41.4,21,21,44,11,35,45,94,118,210,69,133,209,331,207,543,17,20,41,25,37,57,369,268,637,1193,1267,2457,196,211,403,822,836,1660,514,571,1086
UCL115057,1213,1262,2471,332,232,565,165,279,444,34,47,86,29,21,54,566,580,1147,534,581,1115,5.1,4.1,4.6,46.7,46.1,46.4,44.3,44.2,44.3,31,41,69,8,23,36,106,177,276,73,133,208,330,180,509,11,30,39,8,29,37,348,237,585,1076,1130,2203,193,204,396,754,754,1510,470,544,1013
UCL115058,680,789,1463,135,78,208,93,135,230,21,34,57,20,10,29,267,260,530,357,450,804,6.3,4.2,5.3,39.4,33.4,36.2,36.9,32,34.3,23,17,39,11,17,25,57,90,147,52,80,123,215,89,298,10,18,26,15,33,49,240,136,372,605,693,1293,97,96,191,399,462,860,286,302,590
UCL115059,755,828,1585,230,142,368,83,161,242,26,26,49,14,19,27,352,341,694,283,347,627,4.2,4.7,4.5,46.7,41.4,43.9,44.7,39.4,42,10,8,16,7,7,12,41,68,112,23,45,66,161,139,300,8,19,28,10,21,29,184,175,353,646,691,1337,125,142,264,451,470,920,292,337,629
UCL115060,1231,1004,2240,736,344,1086,86,264,348,43,51,88,16,23,37,884,676,1560,174,239,405,1.8,2.8,2.2,71.5,67.1,69.5,70.2,65.2,68,19,16,37,4,17,21,71,121,195,91,104,195,336,216,547,20,20,45,12,14,24,371,252,618,879,864,1739,463,301,765,466,492,965,786,597,1379
UCL115061,433,570,999,132,86,220,43,107,147,11,16,26,14,13,34,208,223,427,208,289,496,7.8,7.2,7.5,47.4,39.1,42.7,43.7,36.3,39.5,11,6,12,3,9,16,10,29,42,19,44,59,114,88,204,5,12,14,8,24,28,132,120,252,408,546,952,95,96,188,262,332,591,208,273,482
UCL115062,528,535,1066,254,136,387,78,155,236,31,53,84,16,7,24,373,356,727,136,168,297,3.8,2.3,3,70.8,65.6,68.2,68.1,64.1,66.1,4,21,29,4,12,17,37,82,119,33,76,113,195,84,280,6,14,15,16,17,34,215,114,329,565,592,1155,62,61,125,438,468,909,147,147,298
UCL115063,438,483,923,209,138,352,56,134,196,30,36,59,10,7,16,307,317,623,119,156,276,3.3,2.2,2.7,69.4,65.6,67.4,67.1,64.1,65.5,20,35,54,8,11,16,66,118,186,48,80,125,126,55,184,0,8,10,11,22,25,142,82,221,498,523,1016,66,58,126,356,380,734,160,178,336
UCL115064,1745,1986,3738,720,386,1105,253,551,800,82,101,175,39,42,81,1083,1080,2163,585,836,1420,3.4,3.8,3.6,62.2,54.2,57.9,60,52.1,55.8,115,137,246,43,96,136,329,417,752,168,244,419,469,199,669,15,42,58,36,71,109,523,313,833,1767,1934,3706,283,321,603,1193,1326,2523,749,834,1579
UCL115065,923,1071,1992,298,186,479,68,227,294,36,40,77,34,30,66,439,481,923,371,469,836,8,6.4,7.2,47.7,44.9,46.2,43.9,42,42.9,9,16,20,4,9,10,33,93,123,24,77,98,231,166,391,5,14,19,16,21,35,247,204,454,861,949,1811,112,149,257,651,676,1322,278,374,648
UCL115066,993,972,1962,466,269,728,137,274,414,89,92,189,19,18,39,715,652,1365,238,285,523,2.8,2.8,2.8,72,67.1,69.6,70,65.2,67.6,8,28,36,5,18,25,37,102,141,49,148,198,434,187,623,8,24,33,19,22,45,461,242,696,1066,1049,2117,162,158,314,775,757,1530,367,351,717
UCL115067,971,1135,2108,280,151,429,112,218,329,35,48,79,25,30,56,450,447,897,465,628,1096,6,6.5,6.3,46.4,39.2,42.5,43.6,36.6,39.8,8,17,28,3,18,20,51,88,140,46,94,142,289,152,444,10,27,33,28,30,57,324,208,529,931,1026,1951,149,191,334,603,680,1283,423,499,922
UCL115068,574,532,1103,155,79,233,72,110,179,21,23,49,18,14,34,262,225,491,280,274,555,6.8,7,6.9,45.7,42.7,44.3,42.6,39.7,41.2,12,7,14,3,13,15,25,50,76,34,52,90,195,73,270,7,7,19,13,13,29,218,100,313,541,509,1052,61,64,122,389,374,763,188,183,369
UCL115069,867,889,1759,261,140,401,75,171,246,20,23,44,25,27,51,380,354,734,436,467,901,6.6,6.7,6.6,43.9,40,42,41.1,37.3,39.2,8,12,21,4,22,28,39,77,116,41,73,116,224,118,345,10,15,26,14,14,24,246,153,398,810,806,1614,112,115,230,608,582,1193,275,301,577
UCL115070,1232,1246,2483,658,305,965,132,386,514,69,84,150,39,43,79,896,814,1712,293,385,679,4.5,4.9,4.7,72.7,65.3,69,69.4,62.1,65.8,7,23,27,4,19,25,44,110,157,55,120,175,498,283,780,14,34,42,11,30,43,515,346,866,1272,1240,2512,262,277,541,774,738,1513,640,681,1322
UCL115071,780,852,1636,344,175,515,69,195,266,27,39,62,20,25,39,461,422,880,263,363,627,4.1,5.2,4.7,58.6,49.5,53.8,56.1,46.9,51.3,3,14,20,0,8,13,33,74,104,29,76,103,285,142,427,12,10,23,8,24,37,301,181,482,715,814,1534,168,171,339,464,506,976,377,423,797
UCL115072,750,765,1515,242,131,371,95,214,311,28,27,51,17,18,35,385,381,764,340,366,705,4.4,4.5,4.4,51.4,50,50.7,49.1,47.8,48.4,12,10,26,9,20,27,61,106,162,58,73,131,274,143,417,4,15,22,15,34,50,294,192,483,774,780,1554,103,115,222,502,495,1001,343,364,705
UCL115073,819,834,1652,285,152,437,119,193,307,30,30,62,20,9,32,452,386,837,271,371,641,4.6,2.3,3.6,55.7,45.9,50.8,53.2,44.8,49,15,15,31,4,13,15,44,75,115,40,67,111,177,99,273,11,13,31,19,14,33,204,127,332,761,776,1540,102,107,211,547,527,1081,281,306,583
UCL115074,841,847,1689,306,155,459,95,166,257,33,26,57,26,26,46,459,366,819,246,331,578,5.3,6,5.6,54.2,43,48.5,51.3,40.4,45.8,14,10,28,7,16,23,37,72,112,30,51,82,191,106,299,5,20,24,8,14,19,200,146,346,720,731,1449,141,115,258,488,513,1000,327,284,608
UCL115075,466,528,994,105,75,174,52,90,137,6,14,24,7,0,11,167,181,350,292,331,620,3.6,2.2,2.9,35.5,34.4,34.9,34.3,33.6,33.9,13,19,35,13,21,29,65,62,123,47,77,123,143,58,194,4,12,17,11,20,29,152,90,242,434,497,932,54,60,118,288,328,620,193,222,417
UCL115076,715,786,1500,238,153,390,70,153,220,13,30,48,22,12,36,344,348,695,317,388,703,5.8,4.3,5.1,48,44.3,46.1,45.3,42.4,43.8,10,12,17,4,8,15,34,68,99,31,80,109,185,97,286,10,20,26,4,12,20,199,130,326,703,776,1481,80,91,164,504,574,1077,229,246,479
UCL115077,1481,1489,2970,232,166,400,132,224,359,35,33,72,37,24,62,441,449,892,964,976,1944,8.4,5.8,7.1,29.7,30.2,30,27.2,28.5,27.8,34,31,63,14,15,33,81,119,208,90,143,236,491,202,693,15,35,48,32,61,89,531,298,830,1282,1297,2578,216,223,434,806,814,1619,657,666,1328
UCL115078,655,630,1284,132,93,220,77,105,186,30,23,56,14,9,16,251,221,475,354,356,712,4,2.7,3.4,38.6,35.3,37,37,34.3,35.7,27,22,50,13,8,22,79,93,169,36,79,118,189,62,247,5,10,11,14,22,37,207,90,296,553,510,1064,94,92,185,314,279,592,299,299,595
UCL115079,931,937,1874,362,188,555,100,209,314,30,32,67,25,20,48,517,459,978,291,378,666,5,4.1,4.6,55.7,48.9,52.3,52.9,46.9,49.9,5,15,23,3,21,26,42,51,96,30,64,100,209,129,341,6,18,25,4,10,18,223,156,382,822,848,1673,118,129,245,601,623,1229,280,301,583
UCL115080,856,861,1724,425,260,691,116,252,374,60,45,105,26,13,43,624,582,1204,208,269,474,4.2,2.8,3.5,72.9,66.9,69.9,69.9,65,67.5,14,17,30,4,16,21,38,94,133,45,98,146,322,165,491,11,20,28,13,28,44,347,217,563,943,978,1922,123,128,251,654,620,1273,336,402,736
UCL115081,477,475,954,248,145,387,43,97,135,10,15,27,4,10,19,309,262,573,104,155,253,2,4.2,3,63.9,56,60,62.6,53.7,58.2,7,8,16,0,5,5,44,55,98,22,40,61,84,62,145,5,8,15,11,13,28,101,86,185,368,424,790,113,82,194,224,242,465,232,217,451
UCL115082,515,557,1077,143,87,235,55,114,163,22,22,44,10,9,15,221,227,450,242,277,515,3.6,2.6,3.1,43.3,40.9,42.1,41.8,39.9,40.8,0,16,17,4,5,5,24,35,59,19,50,68,133,84,218,8,5,15,3,7,16,141,101,250,501,517,1012,53,59,111,349,341,695,179,201,383
UCL115083,1130,1097,2223,427,211,642,130,273,400,30,45,78,35,14,49,619,546,1160,437,497,941,6,2.4,4.3,54.9,49.7,52.3,51.6,48.5,50.1,18,16,32,7,23,31,49,108,156,55,102,157,367,174,543,7,23,32,14,21,32,383,215,601,1059,1039,2099,206,174,379,689,663,1352,523,496,1017
UCL115084,824,771,1602,129,89,213,91,112,199,23,11,36,23,22,50,265,239,499,513,490,1008,9.5,10.5,10,31.7,31,31.4,28.7,27.8,28.2,5,16,18,4,13,17,40,65,106,42,76,122,251,104,353,11,14,20,16,17,37,279,139,417,717,690,1406,122,91,219,494,442,934,331,318,647
UCL115085,486,532,1017,205,109,313,61,150,211,22,41,60,4,6,12,289,303,595,163,199,363,1.7,2,1.9,59.4,57.3,58.3,58.4,56.1,57.2,28,43,67,13,23,31,64,101,163,52,77,134,160,66,220,9,14,22,11,21,32,178,103,277,478,525,1004,69,79,145,306,311,618,206,260,471
UCL115086,1014,919,1931,443,331,777,267,356,625,60,31,88,23,7,29,794,726,1515,175,153,321,2.9,1,2,78.3,79,78.6,76,78.2,77.1,30,43,72,8,18,32,146,184,333,71,105,172,296,144,436,13,16,26,12,12,28,315,171,488,769,684,1460,334,333,670,412,383,794,662,607,1267
UCL115087,497,544,1039,229,142,376,67,146,215,19,23,39,13,11,29,326,322,650,127,180,307,4,3.7,3.8,65.9,59.3,62.4,63.3,57.1,60,15,9,26,3,13,13,20,70,88,29,67,93,160,87,255,4,10,14,7,9,18,172,108,281,489,547,1039,106,108,215,330,353,680,229,252,479
UCL115088,580,648,1230,208,132,341,56,151,204,20,26,40,11,10,21,297,316,611,261,310,570,5.1,2.9,3.9,51.4,48.5,49.8,48.8,47.1,47.9,22,13,29,9,16,19,43,83,134,41,72,116,168,107,276,8,18,23,13,22,32,186,136,328,590,634,1223,95,110,204,408,421,828,234,276,511
UCL115089,2506,1617,4126,730,346,1073,141,373,516,52,69,122,66,35,96,988,818,1809,1403,711,2111,6.5,4.3,5.5,39.5,50.6,43.9,37,48.5,41.5,16,17,32,12,37,47,65,144,209,79,137,214,470,298,769,25,30,54,18,45,64,513,374,887,1596,1568,3157,315,273,584,1024,1019,2040,776,714,1491
UCL115090,520,514,1041,92,47,144,45,100,140,11,9,17,20,17,36,170,169,337,296,292,589,12.9,10.6,11.8,32.8,32.8,32.8,28.5,29.3,28.9,4,13,16,0,3,6,20,25,44,18,36,50,125,59,183,11,10,19,6,13,14,134,79,214,470,468,942,52,56,105,363,331,693,143,171,315
UCL115091,610,598,1204,173,70,246,56,111,164,24,29,50,9,15,26,265,223,489,283,322,603,4.1,6.3,5.1,43.6,37.5,40.6,41.8,35.1,38.5,3,6,10,0,8,13,13,37,55,21,36,56,183,93,273,6,17,21,10,13,26,194,119,313,579,550,1134,74,78,148,375,351,725,244,244,489
UCL115092,662,816,1475,265,202,470,82,187,262,22,37,60,11,26,43,381,454,839,244,323,563,3.7,6.1,5,57.7,55.9,56.7,55.6,52.4,53.9,0,16,20,10,15,23,27,72,100,35,75,112,225,164,392,13,15,25,9,31,36,244,206,456,669,765,1432,135,169,305,415,475,888,323,405,730
UCL115093,471,499,965,205,115,321,73,114,189,21,27,46,8,10,20,310,273,582,152,219,371,3.2,4.5,3.8,66.5,54.1,60.1,64.4,51.7,57.9,27,29,58,10,25,40,59,102,162,59,53,109,143,69,219,3,8,16,10,16,21,156,91,253,504,500,1008,58,64,122,338,316,653,203,220,425
UCL115094,1040,1245,2283,292,193,486,116,242,360,26,30,61,31,35,67,461,504,967,478,601,1080,6.7,7.1,6.9,44.6,40.5,42.4,41.6,37.7,39.4,9,16,28,5,23,34,56,117,175,71,148,216,232,171,405,14,21,39,13,30,47,260,225,493,979,1131,2112,156,213,368,655,750,1401,426,518,949
UCL115095,435,471,905,176,78,250,30,107,137,17,25,41,13,9,22,233,221,455,146,185,327,5.5,4.1,4.8,53.9,46.9,50.3,50.9,45,47.8,6,9,15,5,10,13,19,26,51,9,32,44,80,43,125,5,6,15,10,7,11,89,61,154,432,422,850,60,74,134,296,311,607,163,156,317
UCL115096,1636,1768,3401,515,322,834,195,416,611,50,62,113,41,47,86,798,846,1648,769,874,1646,4.9,5.4,5.2,49,47.7,48.3,46.6,45.1,45.8,43,40,84,17,50,65,151,245,399,150,212,356,554,295,855,21,33,53,38,57,94,611,389,1001,1613,1726,3339,260,289,551,993,1063,2056,811,884,1695
UCL115097,1165,1107,2268,338,150,495,127,225,352,32,48,82,42,21,64,546,443,988,541,597,1136,7.5,5.4,6.6,46.7,40.3,43.6,43.1,38.2,40.7,24,16,38,12,21,33,69,91,160,83,117,199,396,199,594,7,24,35,21,42,60,423,260,692,1071,1008,2080,184,205,395,730,669,1396,483,486,967
UCL115098,558,591,1148,109,104,215,55,100,155,16,18,33,25,18,43,206,241,451,240,198,439,13.1,7,9.8,37,41.4,39.3,32.1,38.5,35.4,0,3,10,3,10,14,23,60,77,33,42,71,101,71,169,4,11,19,8,12,22,119,98,213,446,434,877,82,106,192,306,296,597,193,219,409
UCL115099,1149,1337,2485,297,182,480,141,284,422,35,45,79,43,35,84,521,543,1058,544,707,1256,8.7,6.6,7.6,45.1,40.5,42.6,41.2,37.8,39.4,16,11,22,0,23,22,64,119,181,59,121,184,296,201,492,21,31,47,13,28,44,323,265,587,1117,1250,2365,199,217,416,703,787,1483,533,594,1127
UCL115100,1086,1250,2335,261,179,433,138,223,354,26,39,67,37,33,66,459,463,923,544,703,1251,8.1,6.7,7.4,42.2,37.2,39.5,38.8,34.7,36.6,27,30,51,22,29,48,97,123,216,72,115,192,258,169,429,15,18,32,15,36,61,292,226,519,978,1092,2071,179,239,417,636,674,1311,473,594,1066
UCL115101,987,1039,2026,269,172,448,128,224,352,49,52,101,24,12,39,473,466,934,444,506,957,5.3,2.8,4.1,47.8,44.5,46.1,45.3,43.2,44.2,50,46,98,21,30,50,124,149,276,89,145,229,246,150,395,10,17,28,20,37,56,275,207,480,909,943,1850,160,175,329,543,577,1122,476,491,965
UCL115102,792,873,1665,231,132,368,82,175,250,21,16,42,28,16,47,361,342,707,359,458,816,8,4.7,6.4,45.8,39.2,42.4,42.1,37.4,39.7,5,16,20,3,7,9,32,55,89,16,67,89,208,122,330,13,24,36,11,19,32,229,167,397,731,786,1513,140,148,286,488,524,1013,337,353,685
UCL115103,398,444,834,135,75,208,34,84,121,16,16,28,14,5,19,196,181,378,156,225,384,7,2.2,4.8,50.5,40.3,45.1,47,39.4,43,0,3,3,0,0,5,21,39,60,17,26,35,93,70,164,5,9,14,4,14,21,102,103,198,355,391,745,80,94,179,226,266,488,187,201,385
UCL115104,556,733,1286,162,92,250,87,176,263,17,39,55,9,0,17,271,309,576,257,382,636,3.3,1.3,2.2,48.7,42.1,44.9,47,41.5,43.9,29,39,70,7,25,29,73,107,187,48,86,138,152,75,228,4,13,24,10,20,27,169,111,278,515,671,1185,128,136,259,318,386,705,289,383,674
UCL115105,618,696,1314,258,143,401,77,150,228,19,24,46,10,9,16,362,330,692,201,306,506,2.5,3,2.7,59.2,47.3,52.9,57.7,45.9,51.4,8,16,20,5,13,16,29,74,104,36,65,104,167,102,269,7,12,21,8,20,32,185,134,316,561,634,1198,128,126,256,392,404,790,262,311,571
UCL115106,1138,1194,2331,319,190,510,157,253,409,29,43,67,25,13,39,527,503,1031,485,579,1065,4.9,2.8,3.9,46.5,41.9,44.1,44.2,40.8,42.4,15,22,38,9,24,27,65,110,174,64,131,194,300,165,465,9,23,35,23,32,57,332,217,551,1020,1027,2048,185,169,353,673,697,1370,473,473,942
UCL115107,1313,1597,2916,366,241,601,318,534,851,51,56,106,47,39,85,783,870,1651,412,602,1017,6,4.6,5.3,59.2,54.4,56.6,55.7,51.9,53.6,68,110,170,16,65,78,209,346,558,122,225,346,255,142,399,5,19,27,18,40,55,282,203,484,1201,1397,2594,283,353,639,709,832,1543,709,849,1560
UCL115108,771,812,1586,475,332,812,112,222,333,18,43,63,19,12,32,621,617,1237,131,181,313,3.2,2,2.6,80.5,75.8,78.1,77.9,74.4,76.1,72,75,146,25,54,84,123,169,297,95,122,225,180,82,261,7,13,23,12,21,33,199,121,316,889,936,1825,97,109,210,575,571,1140,375,408,778
UCL115109,1440,1518,2957,331,209,539,190,293,483,55,47,104,29,17,48,602,568,1167,747,849,1592,5,3,4,41.8,37.4,39.5,39.7,36.3,37.9,32,43,72,22,42,64,130,181,315,115,152,271,411,201,619,17,26,39,21,40,61,452,266,722,1323,1352,2678,202,218,422,933,940,1870,536,569,1105
UCL115110,1465,1598,3059,527,310,838,144,345,486,43,43,80,68,39,105,782,735,1515,543,713,1259,8.5,5.4,7,53.3,46,49.5,48.8,43.5,46,20,21,44,5,17,32,65,152,213,66,121,185,319,205,519,21,35,60,14,41,56,358,284,637,1403,1501,2896,209,250,462,951,1011,1961,555,645,1204
UCL115111,1315,1433,2749,497,313,807,131,262,394,35,61,100,40,38,80,702,676,1378,445,561,1004,6,5.8,5.9,53.2,47.2,50.1,50,44.5,47.2,12,13,22,5,16,20,68,157,225,46,104,155,338,193,536,15,23,40,14,34,51,375,253,626,1228,1271,2504,198,215,415,867,905,1770,458,519,983
UCL115112,775,862,1636,469,302,771,87,221,306,38,71,107,26,20,48,617,609,1230,128,220,355,4,3.4,3.7,79.9,70.9,75.1,76.6,68.4,72.3,14,20,33,3,14,22,71,138,214,65,114,187,306,206,510,13,22,29,11,16,32,328,241,570,759,770,1532,286,331,614,215,214,432,715,802,1516
UCL115113,694,721,1417,353,193,551,48,165,214,29,35,69,19,16,37,462,410,873,198,274,463,4.6,4.4,4.5,66,56.8,61.3,63,54.3,58.6,14,21,32,10,12,18,42,70,115,24,47,75,171,105,271,4,6,9,11,19,26,184,126,303,670,703,1377,116,132,249,470,481,947,287,291,581
UCL115114,1058,1012,2070,450,202,650,87,199,283,49,40,83,30,21,53,611,463,1072,333,448,781,5.2,4.6,4.9,57.6,45.6,51.8,54.6,43.6,49.2,19,20,36,10,12,20,46,84,128,38,75,115,292,124,414,12,15,32,15,29,43,317,166,487,953,933,1892,163,171,337,614,611,1221,452,440,893
UCL115115,1814,2225,4037,537,367,908,380,696,1079,66,102,171,67,59,132,1054,1231,2280,599,806,1410,6.6,5.1,5.8,58,55.3,56.5,54.2,52.5,53.3,75,125,202,42,90,134,270,466,741,155,315,464,464,234,699,11,37,50,36,59,96,511,330,840,1661,1946,3598,325,433,756,1074,1218,2290,787,1053,1851
UCL115116,1718,1958,3678,522,371,897,189,429,621,54,79,130,61,35,98,835,916,1746,772,929,1696,7.7,3.9,5.7,48.5,46.7,47.5,44.7,44.9,44.8,49,52,101,17,48,62,139,256,398,121,229,348,540,288,829,20,47,63,37,46,83,594,380,973,1641,1826,3464,338,350,690,959,1045,2003,887,1001,1893
UCL115117,680,825,1501,138,86,223,54,141,186,18,11,27,18,12,33,224,252,469,392,501,895,7.7,5.6,6.6,32.7,30.2,31.3,30.2,28.5,29.3,12,14,28,0,19,22,41,64,102,35,84,118,223,99,326,9,10,20,16,32,40,247,142,388,584,703,1293,108,135,246,388,433,826,288,382,673
UCL115118,686,722,1412,219,124,349,102,175,283,16,26,40,9,14,17,355,341,690,296,349,639,2.6,3.2,2.9,51.2,47,49.1,49.9,45.5,47.7,29,25,55,11,33,49,68,106,175,47,83,130,195,81,274,10,6,13,10,26,36,210,116,323,617,646,1264,128,136,270,399,415,815,311,336,649
UCL115119,1492,1547,3039,704,405,1107,223,394,623,93,126,221,42,31,68,1068,961,2024,368,527,892,3.9,3.2,3.6,71.3,62,66.6,68.6,60,64.2,49,64,114,15,45,63,119,239,358,142,179,316,538,241,779,11,25,37,31,45,74,576,316,896,1575,1637,3209,231,224,452,1005,1014,2018,673,728,1400
UCL115120,1241,1263,2500,649,360,1005,174,357,536,100,108,206,13,16,26,931,841,1773,285,394,678,1.1,2,1.5,75,67,71,74.2,65.7,69.9,24,43,69,16,33,43,89,197,286,108,165,279,517,196,717,6,18,19,10,47,59,536,266,802,1354,1353,2709,257,263,523,776,774,1550,735,745,1479
UCL115121,784,754,1537,250,98,350,63,164,226,31,21,55,37,21,60,387,304,693,331,382,710,9.6,7.2,8.5,49.4,40.7,45.1,44.6,37.8,41.3,5,9,8,9,13,24,21,44,66,34,55,93,248,125,367,9,17,24,10,21,34,265,158,423,749,712,1455,92,84,178,561,518,1084,235,243,475
UCL115122,999,1133,2135,351,220,573,103,215,309,35,33,66,40,34,76,526,496,1024,341,493,832,8,6.8,7.4,52.7,43.8,47.9,48.4,40.8,44.4,14,8,23,3,12,16,40,105,149,36,75,117,262,170,433,19,25,47,12,28,42,295,223,523,906,1004,1907,152,169,321,604,670,1268,394,441,837
UCL115123,583,603,1177,236,119,357,114,182,290,27,35,61,7,10,21,379,352,729,166,219,386,1.8,3.4,2.6,65.7,58.2,61.9,64.5,56.2,60.3,39,35,68,21,19,37,58,111,172,56,90,141,180,82,261,6,15,23,11,19,27,194,119,309,627,601,1226,79,79,156,443,438,876,221,211,432
UCL115124,1672,1829,3503,683,478,1160,251,554,806,54,79,134,57,58,118,1052,1166,2217,523,567,1085,5.5,5.2,5.4,63,63.7,63.4,59.6,60.4,60,51,82,130,22,48,71,220,350,574,133,241,376,532,275,803,21,21,38,20,42,64,575,331,911,1693,1784,3485,339,375,720,1066,1054,2118,850,964,1821
UCL115125,1358,1432,2785,405,225,623,167,296,463,39,54,92,18,24,45,630,598,1222,656,737,1392,3.3,4,3.7,46.2,41.9,44,44.6,40.2,42.3,31,51,82,12,41,48,126,199,324,97,169,264,453,161,620,8,22,27,31,46,74,492,231,724,1307,1323,2634,174,200,369,917,920,1836,499,551,1046
UCL115126,432,447,880,163,109,267,74,138,213,13,15,32,15,11,22,267,273,536,150,162,314,6,2.9,4.5,62.2,60.7,61.5,58.5,58.9,58.7,24,22,51,16,17,26,62,87,149,34,68,102,127,56,183,3,3,7,0,14,13,134,75,209,436,424,863,70,72,142,310,291,603,179,189,368
UCL115127,546,550,1093,140,87,233,86,151,237,25,18,51,21,9,29,278,270,552,221,237,456,7.2,4.1,5.6,51.5,49.3,50.4,47.8,47.3,47.5,20,20,41,10,13,17,47,84,130,47,68,118,187,93,281,4,9,15,7,24,22,196,125,325,518,511,1034,82,84,162,332,315,645,254,253,505
UCL115128,799,976,1774,269,192,456,174,327,505,47,42,91,22,33,54,510,595,1103,233,312,548,4.7,5.7,5.2,63.9,61,62.3,60.9,57.5,59.1,48,74,119,20,36,57,129,229,353,79,154,232,211,87,294,7,13,25,14,21,38,240,120,354,793,903,1691,152,199,343,476,550,1029,429,496,924
UCL115129,741,680,1420,297,144,442,122,196,322,39,43,88,20,13,27,476,405,878,222,237,462,3.6,3,3.3,64.2,58.9,61.7,61.9,57.2,59.6,86,95,175,14,27,41,180,173,353,73,84,161,154,44,195,4,3,6,23,34,51,178,76,253,729,707,1445,101,85,180,533,499,1022,250,245,493
UCL115130,1641,1664,3300,324,184,507,172,261,432,41,49,90,43,26,74,577,517,1098,935,985,1919,7.8,4.8,6.4,35.2,31.4,33.3,32.4,29.9,31.1,11,29,46,12,23,35,69,126,204,80,123,199,592,211,809,11,18,37,28,67,88,636,296,936,1446,1409,2856,228,234,469,1026,973,2000,586,630,1220
UCL115131,1722,1771,3495,531,254,782,192,411,604,89,74,165,62,33,94,872,776,1649,768,908,1672,7,4.8,5.9,50.6,43.9,47.2,47.1,41.8,44.4,27,37,58,10,24,34,81,147,229,102,183,283,563,306,866,29,48,74,32,46,75,622,404,1023,1665,1717,3382,288,265,555,1135,1132,2267,713,770,1483
UCL115132,668,691,1361,209,150,365,94,166,257,24,20,36,10,10,18,331,343,675,292,317,611,3,2.3,2.7,49.9,49.4,49.7,48.4,48.3,48.3,41,30,64,19,32,55,102,155,261,43,77,120,160,85,245,6,15,19,15,20,36,180,118,298,630,641,1275,78,81,160,465,463,930,226,249,475
