SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
110041200,1038,0,6,21,10,1070,362,0,11,6,0,381,39,0,3,0,0,46,1439,0,16,29,10,1496
110041201,1954,8,38,19,5,2024,762,6,40,7,0,814,62,0,5,0,3,73,2772,16,88,24,7,2916
110041202,5160,476,63,14,24,5729,1190,375,62,13,6,1648,201,48,9,3,0,260,6551,892,128,26,37,7638
110041203,3638,479,112,23,29,4275,777,250,75,13,7,1127,104,65,7,5,7,196,4519,798,192,39,40,5594
110041204,1029,35,8,147,18,1242,328,25,23,109,4,487,52,3,3,3,3,71,1399,70,36,268,24,1798
110041205,4846,35,30,41,35,4985,1355,30,42,36,6,1459,192,3,7,9,0,211,6389,64,76,85,40,6656
111011206,4575,461,276,45,11,5371,674,287,117,51,7,1133,113,36,13,4,0,164,5367,787,406,93,16,6670
111011207,1386,162,160,20,7,1735,342,76,102,16,0,535,50,10,13,3,3,73,1773,248,277,45,9,2351
111011208,6252,921,274,5,13,7463,1047,260,113,0,0,1425,120,34,22,0,3,174,7413,1217,406,6,17,9057
111011209,6585,334,111,16,12,7056,1055,177,79,0,3,1312,124,14,10,0,3,153,7768,526,192,17,14,8517
111011210,1998,304,87,13,5,2404,544,202,84,0,0,833,80,18,9,0,7,112,2617,523,186,12,6,3348
111011211,830,148,4,44,0,1031,93,129,9,52,0,275,23,11,0,3,0,34,936,289,13,100,0,1343
