SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10080,9,44,108,258,165,39,17,4,652,4,114,302,232,60,13,5,3,736,93,658,1841,2662,1051,176,54,44,6595,98,776,2148,2896,1105,187,56,53,7324,133,521,461,98,16,0,8,5,1245,480,1278,900,232,21,5,4,28,2947,1435,4295,3540,1118,57,12,10,116,10577,1050,7336,9239,2219,120,19,13,301,20304,0,0,0,0,0,0,0,0,11,3102,13430,14135,3669,212,31,37,457,35081,12,66,71,29,4,0,0,0,190,29,91,40,15,3,6,4,17,213,3248,14420,16502,6869,1492,272,111,536,43451
SED10081,58,334,2472,11923,9449,1780,413,442,26875,16,295,1310,421,34,4,0,46,2130,5,80,230,63,8,3,0,8,396,23,377,1538,487,40,3,0,56,2524,13,138,260,47,8,3,0,16,488,0,0,21,0,0,0,0,0,22,0,0,23,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,4,0,23,13,145,316,53,10,3,3,16,557,25,68,35,18,9,5,0,5,164,4,35,30,33,12,0,3,19,131,124,955,4386,12507,9521,1790,424,542,30249
SED10082,41,395,2576,7743,9014,2989,631,247,23638,0,98,1011,419,19,3,3,53,1616,0,45,227,576,106,12,4,10,982,5,143,1241,998,121,15,10,65,2596,7,107,522,751,115,15,5,27,1540,0,15,167,146,17,0,0,4,347,7,18,61,47,6,0,0,0,137,0,0,0,0,0,0,0,0,0,4,16,31,21,11,7,4,7,107,9,158,787,959,148,22,10,39,2130,0,15,113,27,3,0,0,4,169,0,8,8,6,6,0,4,0,34,59,718,4726,9738,9294,3025,652,350,28567
SED10083,44,266,1685,9245,7569,1914,470,222,21417,17,283,1482,895,45,7,4,72,2803,8,192,584,1146,129,12,3,44,2116,21,478,2069,2048,171,23,8,119,4921,6,146,466,196,21,0,0,26,856,0,35,274,68,0,0,0,7,393,0,56,473,98,4,0,4,8,646,0,13,118,11,0,0,0,0,146,0,14,41,12,5,0,0,0,70,11,261,1367,391,35,4,6,37,2104,30,60,54,19,4,0,0,9,171,4,17,7,7,0,0,3,3,50,105,1078,5179,11705,7781,1933,486,391,28659
SED10084,66,498,2097,7680,7180,1541,333,294,19694,4,202,1574,2148,101,8,4,75,4128,3,145,894,1535,109,11,3,44,2751,11,348,2470,3680,211,24,5,119,6878,28,244,913,327,22,3,0,43,1586,0,125,1053,323,8,3,0,26,1532,0,67,352,161,9,0,0,14,609,0,46,334,124,5,0,0,14,525,0,31,19,3,6,3,0,0,62,35,516,2670,950,47,9,0,97,4319,45,283,259,22,8,3,0,12,642,7,21,20,11,8,0,3,8,82,162,1670,7522,12348,7456,1575,348,529,31615
SED10085,84,465,2585,11104,9419,1831,465,410,26366,10,185,632,458,62,14,4,33,1389,0,53,199,112,13,7,0,14,401,8,234,838,575,81,17,3,43,1790,0,79,215,66,11,0,0,7,381,0,0,9,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,77,226,72,11,5,3,7,401,23,108,64,32,15,5,3,9,255,6,19,15,24,10,6,4,8,90,121,915,3721,11808,9525,1863,477,478,28908
SED10086,8,43,282,1614,2803,1566,429,77,6820,0,32,445,645,234,48,6,18,1426,0,46,262,931,785,165,20,22,2231,4,72,707,1574,1022,217,23,37,3656,32,643,2094,988,138,38,18,50,3999,189,1680,5851,1912,175,22,7,102,9938,107,1033,3208,1293,85,5,3,69,5805,72,226,707,464,21,3,4,22,1515,0,6,31,29,12,4,0,0,88,399,3594,11896,4680,420,71,32,248,21344,10,71,88,67,4,6,0,7,246,6,25,22,15,5,0,0,10,79,426,3808,12995,7955,4256,1852,493,371,32150
SED10087,38,200,2155,11604,9834,1788,317,352,26284,8,146,871,197,23,3,0,35,1294,0,8,114,94,5,0,0,0,231,12,154,993,296,25,4,0,37,1521,6,301,1567,198,15,6,3,59,2157,0,41,58,16,0,0,0,0,118,0,10,21,16,0,0,0,0,40,0,0,0,0,0,0,0,0,3,0,5,4,8,7,0,0,0,24,11,355,1646,236,22,6,3,58,2348,8,28,29,23,10,3,5,5,120,0,12,14,30,12,0,0,10,87,69,757,4842,12182,9906,1809,330,463,30350
SED10088,86,256,960,5650,6841,2883,747,135,17560,25,118,105,81,34,4,0,3,376,19,304,446,666,144,21,8,27,1641,50,428,551,749,179,21,3,31,2014,83,636,667,173,40,7,5,34,1648,28,763,3196,338,9,6,4,57,4390,60,657,1685,316,8,0,0,36,2759,4,155,225,120,0,0,0,3,507,3,40,100,37,22,9,0,0,216,183,2244,5880,979,79,27,12,131,9525,0,13,35,16,3,0,0,6,69,0,14,14,5,4,0,0,0,48,320,2957,7434,7396,7101,2931,770,304,29211
SED10089,46,318,3452,12621,7417,1576,401,253,26074,5,177,1545,759,64,9,6,52,2614,20,169,568,835,73,17,4,44,1731,25,349,2115,1594,140,27,8,93,4346,21,458,391,108,14,7,5,47,1055,19,136,193,18,0,0,0,19,386,4,18,23,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,6,42,74,51,11,9,0,9,201,53,657,684,176,32,17,11,70,1691,4,13,19,9,8,3,0,0,58,5,9,12,12,0,0,0,3,41,128,1343,6272,14411,7599,1626,421,413,32217
SED10090,17,77,988,4608,5129,2009,383,76,13290,5,57,610,632,156,15,0,3,1478,3,97,411,1198,277,27,10,7,2040,4,150,1025,1829,431,50,11,16,3512,33,582,1501,589,48,7,3,28,2793,43,1046,2698,608,16,4,0,38,4459,139,1273,2307,709,11,5,0,36,4471,66,1125,2122,765,27,0,6,49,4149,0,11,22,11,15,3,4,0,63,283,4041,8653,2679,107,21,14,147,15943,6,34,50,24,3,0,0,0,119,0,17,14,3,0,0,0,3,44,314,4323,10724,9150,5677,2081,402,243,32909
SED10091,40,337,1723,8394,11552,3148,895,324,26411,3,108,662,347,50,3,0,32,1209,0,3,119,216,24,3,0,0,376,3,113,782,565,77,6,4,34,1582,7,89,197,39,13,0,0,7,354,0,3,17,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,16,25,11,3,6,109,6,110,243,56,40,11,6,12,484,17,58,37,26,7,5,3,5,156,0,11,16,21,15,0,4,3,72,71,631,2809,9050,11690,3167,910,376,28707
SED10092,19,317,2491,9366,5280,1232,292,262,19256,6,130,559,335,42,4,0,18,1096,3,169,729,1076,114,16,10,26,2148,11,299,1288,1410,153,20,10,47,3238,48,751,1731,398,56,15,8,57,3063,19,330,1641,320,18,0,0,43,2375,14,447,2096,925,37,0,3,44,3565,12,242,1103,657,35,0,0,23,2075,0,26,42,31,17,3,6,0,123,94,1795,6615,2326,161,26,18,172,11199,10,112,192,49,11,8,4,11,397,3,17,13,11,4,0,9,9,58,139,2534,10591,13163,5612,1284,325,503,34152
SED10093,55,405,2623,9398,10391,1896,473,377,25620,24,93,654,618,61,9,3,46,1512,0,55,218,410,38,0,6,20,742,24,147,880,1019,101,9,5,67,2256,8,234,825,361,31,4,0,42,1504,0,7,56,0,0,0,0,4,72,10,8,70,10,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,10,39,10,0,4,0,0,70,19,254,993,382,31,7,0,48,1742,12,38,32,10,3,0,0,13,106,0,10,12,11,6,0,0,0,42,114,855,4534,10825,10530,1915,482,501,29764
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
