SA2_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
124031457,4,4,0,0,0,9,4,5,15,277,154,84,521,10,17,27,548,442,8,1002
124031459,9,9,0,0,0,9,0,5,9,217,121,48,383,3,11,14,396,199,6,603
124031460,0,0,0,0,0,0,0,4,5,389,194,70,651,17,6,22,676,267,11,950
124031461,4,8,0,0,0,6,6,4,15,322,178,81,579,15,22,36,616,402,7,1021
124031462,0,3,0,0,0,3,3,14,25,397,244,91,729,30,22,46,782,528,23,1328
124031463,0,4,0,0,0,4,0,0,4,124,83,29,237,11,0,9,245,138,0,387
124031464,0,0,0,0,0,0,3,14,20,321,173,67,564,19,13,27,593,477,18,1088
124031465,0,0,0,0,0,0,0,0,0,58,35,14,115,5,7,4,116,79,5,199
124031707,0,5,0,0,0,5,0,5,13,233,156,55,450,30,15,37,488,372,14,872
124031708,0,0,0,0,0,0,3,4,5,175,88,28,295,11,8,16,314,164,3,475
124041466,0,7,0,0,0,7,6,0,18,267,154,49,477,18,14,26,505,304,9,816
124041467,0,0,0,0,0,0,0,5,7,279,174,63,519,12,21,31,547,362,9,923
124041468,0,3,0,0,0,3,0,0,7,57,44,20,118,0,0,0,123,123,3,247
124051469,0,0,0,0,0,0,4,0,4,98,49,25,166,0,0,4,171,94,3,262
124051470,0,6,0,0,0,6,7,9,13,307,196,69,571,18,8,21,591,366,11,977
124051580,0,3,0,0,0,3,7,7,20,200,138,46,389,15,23,43,426,421,16,865
124051581,5,9,0,0,0,9,11,15,30,275,169,75,517,28,24,47,566,589,15,1171
125011475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125011582,0,0,0,0,0,0,4,3,11,84,76,25,185,18,14,31,213,376,13,605
125011583,0,0,0,0,0,0,0,3,0,35,46,15,93,0,5,13,104,185,5,290
125011584,0,0,0,0,0,0,0,10,10,53,31,22,111,4,5,11,123,185,4,315
125011585,0,0,0,0,0,0,0,3,7,63,54,25,140,13,9,18,158,218,9,383
125011586,6,8,0,0,0,8,7,9,18,152,107,59,313,16,7,27,338,423,17,777
125011587,0,0,0,0,0,0,0,0,0,41,27,16,85,4,8,10,96,120,3,215
125011709,0,0,0,0,0,0,3,0,3,86,38,28,151,3,3,5,158,91,0,255
125011710,0,0,0,0,0,0,0,5,8,153,99,50,302,16,9,26,327,253,9,593
125021477,0,0,0,0,0,0,7,10,17,287,168,57,512,19,23,40,554,467,17,1043
125021478,0,4,0,0,0,4,6,9,12,221,128,52,397,12,3,13,415,362,13,789
125021711,0,0,0,0,0,0,3,3,14,120,67,19,209,9,9,10,219,190,9,421
125021712,0,0,0,0,0,0,0,0,5,210,129,36,369,8,15,25,397,304,7,701
125031479,0,0,0,0,0,0,3,14,21,139,141,55,337,12,16,35,371,641,34,1047
125031480,0,0,0,0,0,0,6,11,18,108,84,43,237,15,17,29,270,539,12,826
125031481,0,0,0,0,0,0,5,8,17,153,104,48,302,19,21,36,342,509,17,867
125031483,0,8,0,0,0,10,9,8,23,117,100,53,271,19,11,36,306,653,23,979
125031484,0,0,0,0,0,0,4,8,7,221,123,66,414,19,18,37,449,652,9,1106
125031486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125031487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125031713,0,0,0,0,0,0,4,6,9,187,85,39,311,5,0,8,323,378,9,709
125031714,6,3,0,0,0,3,6,17,23,187,125,50,362,26,27,47,412,622,18,1054
125031715,0,0,0,0,0,0,4,5,7,145,76,34,253,5,7,8,265,167,10,434
125031716,0,0,0,0,0,0,3,3,7,79,39,18,137,3,3,10,145,185,4,335
125041489,0,0,0,0,0,0,4,3,9,290,149,44,480,25,18,42,524,363,5,895
125041490,0,0,0,0,0,0,0,0,0,86,53,22,156,0,7,6,161,105,0,267
125041491,0,0,0,0,0,0,3,0,7,246,118,39,412,16,10,25,437,268,3,711
125041493,0,4,0,0,0,4,0,5,10,252,140,62,451,14,9,28,478,432,7,918
125041494,0,0,0,0,0,0,0,3,5,140,52,25,218,4,4,11,223,141,3,366
125041588,0,0,0,0,0,0,3,3,9,77,54,22,156,6,10,9,171,230,10,404
125041589,0,4,0,0,0,3,3,7,9,174,61,23,253,14,5,20,279,335,4,620
125041717,0,3,0,0,0,3,0,0,3,81,35,22,138,5,9,11,146,98,0,248
125041718,0,0,0,0,0,0,0,3,3,68,42,15,133,8,4,12,142,140,3,281
125041719,0,0,0,0,0,0,3,15,18,53,35,14,103,6,0,6,110,134,17,267
126011496,0,0,0,0,0,0,4,0,8,232,105,33,372,14,9,20,394,234,5,630
126011720,0,0,0,0,0,0,0,0,0,152,85,30,264,6,3,13,274,171,3,447
126011721,0,0,0,0,0,0,0,4,8,205,135,30,371,13,13,20,393,253,4,658
126021498,6,0,0,0,0,0,5,0,6,199,101,31,328,4,10,13,348,185,5,537
126021499,0,0,0,0,0,0,0,0,0,82,51,10,145,5,3,11,149,97,3,253
126021500,0,0,0,0,0,0,0,0,10,261,132,34,428,19,12,30,461,271,3,741
126021501,0,0,0,0,0,0,4,0,3,147,72,29,247,7,9,16,262,216,6,489
126021503,0,0,0,0,0,0,0,0,0,204,134,40,374,12,13,20,398,282,5,684
126021590,0,0,0,0,0,0,0,0,0,31,18,9,56,0,0,4,60,54,0,116
126021722,0,0,0,0,0,0,3,0,4,65,41,7,111,0,3,3,118,85,0,208
126021723,0,0,0,0,0,0,6,3,3,174,109,32,313,9,12,15,327,316,7,648
126021724,0,0,0,0,0,0,4,0,7,237,116,37,390,14,17,27,421,359,3,779
126021725,0,0,0,0,0,0,0,4,7,135,62,25,223,7,3,10,232,121,0,356
127011504,0,0,0,0,0,0,19,16,32,134,152,67,354,19,26,53,410,950,31,1393
127011505,0,0,0,0,0,0,0,5,3,117,71,40,226,10,0,13,242,210,8,458
127011592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127011593,0,0,0,0,0,0,0,4,8,78,37,18,132,6,4,8,143,137,5,285
127011594,0,0,0,0,0,0,6,6,12,130,79,39,249,10,13,25,271,413,7,691
127011595,0,0,0,0,0,0,0,3,5,141,83,44,271,23,11,27,297,311,8,616
127011596,0,0,0,0,0,0,0,0,0,137,78,46,262,9,12,18,280,243,11,536
127011597,0,6,0,0,0,6,6,7,16,199,120,55,371,10,5,20,385,280,7,675
127011726,0,0,0,0,0,0,0,3,3,49,33,10,98,4,0,7,100,57,3,156
127011727,0,0,0,0,0,0,0,3,4,169,93,24,294,4,8,9,298,165,6,470
127011728,0,0,0,0,0,0,0,0,3,99,56,26,181,4,11,15,186,161,8,357
127011729,0,0,0,0,0,0,0,5,4,249,119,47,416,20,16,40,449,210,7,667
127021509,0,0,0,0,0,0,4,7,16,185,121,74,373,17,19,33,415,724,18,1156
127021510,0,4,0,0,0,4,0,11,13,133,99,35,264,10,16,24,289,529,12,830
127021511,3,3,0,0,0,3,9,19,32,205,182,125,516,42,50,90,606,1036,33,1676
127021512,3,3,0,0,0,3,10,9,25,184,144,82,409,21,30,45,457,786,27,1269
127021513,0,3,0,0,0,3,4,13,24,210,181,101,494,34,44,75,575,904,25,1494
127021514,0,0,0,0,0,0,0,6,9,94,62,34,187,12,5,16,202,298,11,505
127021515,5,5,0,0,0,5,15,8,23,110,105,58,270,15,24,41,315,803,20,1143
127021516,3,4,0,0,0,4,4,17,25,153,131,59,339,8,17,30,370,740,23,1142
127021517,0,0,0,0,0,0,0,5,8,64,56,29,149,5,0,8,159,291,5,458
127021518,0,0,0,0,0,0,3,0,4,29,20,11,60,0,0,5,59,77,0,141
127021519,0,6,0,0,0,6,10,8,23,165,111,57,341,11,14,30,366,680,17,1065
127021520,0,0,0,0,0,0,5,0,4,106,54,46,210,4,12,16,224,393,3,612
127021521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127031522,0,0,0,0,0,0,11,7,14,157,113,50,317,23,15,37,355,412,13,780
127031523,0,0,0,0,0,0,0,9,13,248,122,53,416,15,14,27,444,402,12,863
127031524,0,6,0,0,0,6,0,4,4,282,140,69,493,7,6,16,512,256,9,766
127031599,0,0,0,0,0,0,14,11,25,104,80,32,220,10,7,16,238,544,20,796
127031601,0,0,0,0,0,0,8,3,9,75,53,18,140,11,9,16,160,180,6,352
127031730,0,0,0,0,0,0,0,0,4,117,48,26,189,4,3,7,197,122,0,314
127031731,0,0,0,0,0,3,10,12,21,195,122,48,364,28,25,55,417,547,15,979
127031732,4,4,0,0,0,4,3,11,20,117,88,53,249,16,19,38,288,507,20,808
127031733,0,5,0,0,0,4,0,8,12,182,85,46,324,15,12,25,347,268,6,619
128011529,0,0,0,0,0,0,0,3,5,243,156,35,432,5,5,12,443,192,5,639
128011530,0,0,0,0,0,0,0,0,10,295,181,56,538,20,12,30,567,302,4,876
128011531,0,0,0,0,0,0,0,5,13,168,123,52,343,0,5,8,346,266,8,620
128011602,0,0,0,0,0,0,4,0,8,236,139,46,425,4,0,7,438,192,5,630
128011603,4,5,0,0,0,5,0,0,8,126,87,20,236,0,10,7,246,140,0,386
128011604,0,0,0,0,0,0,0,0,3,315,203,56,572,16,21,35,607,269,7,881
128011605,3,3,0,0,0,3,0,0,3,22,15,4,44,0,0,0,44,20,0,67
128011606,0,0,0,0,0,0,0,6,6,108,56,19,182,3,5,10,187,82,0,273
128021533,0,0,0,0,0,0,0,0,0,92,60,19,164,0,3,4,175,70,0,242
128021534,0,0,0,0,0,0,4,0,4,98,47,15,163,3,5,10,170,113,0,285
128021535,0,0,0,0,0,0,0,0,3,291,165,45,501,10,6,16,512,250,9,767
128021536,0,0,0,0,0,0,4,0,4,246,153,34,427,10,10,23,447,220,10,678
128021537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
