POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA2770,..,3473,3473,4229,404,4631,3342,54,3394,2952,16,2971,1962,8,1965,1847,3,1847,14331,3950,18281
POA2773,..,379,379,641,40,683,294,6,301,412,5,415,189,0,189,67,0,67,1605,430,2031
POA2774,..,737,737,1450,53,1505,807,9,810,850,3,851,373,0,374,157,0,157,3642,807,4449
POA2775,..,213,213,188,25,209,68,0,71,48,0,48,18,0,18,10,0,10,326,238,568
POA2776,..,263,263,471,24,498,248,0,248,256,0,256,120,0,120,43,0,43,1137,288,1423
POA2777,..,1355,1355,2013,102,2114,969,12,981,1062,3,1061,515,0,512,215,0,215,4772,1465,6239
POA2778,..,187,187,312,21,335,133,3,140,141,0,141,71,0,71,18,0,18,675,211,891
POA2779,..,459,459,528,38,568,288,3,288,298,0,298,143,0,143,64,0,65,1320,502,1819
POA2780,..,2051,2051,1699,242,1941,660,33,693,484,6,490,192,3,195,86,3,88,3116,2345,5460
POA2782,..,697,697,875,79,945,315,3,322,285,3,284,111,0,111,48,0,48,1637,773,2410
POA2783,..,306,306,291,32,323,152,5,152,143,0,143,52,0,52,29,0,29,663,343,1002
POA2784,..,122,122,154,11,170,75,0,79,64,0,64,29,0,29,12,0,12,330,141,471
POA2785,..,675,675,725,70,796,227,4,227,187,4,188,60,0,56,20,0,20,1213,751,1963
POA2786,..,170,170,159,17,177,66,0,68,41,0,41,19,0,19,9,0,9,298,189,488
POA2787,..,464,464,594,29,622,187,3,191,183,0,183,95,0,95,41,0,41,1098,499,1598
POA2790,..,2030,2030,1931,136,2066,786,7,793,680,3,684,277,0,282,133,0,133,3808,2173,5977
POA2791,..,39,39,51,5,56,12,0,14,13,0,13,7,0,7,3,0,3,90,43,133
POA2792,..,45,45,61,4,64,17,0,13,16,0,16,10,0,10,3,0,3,105,52,160
POA2793,..,105,105,165,8,176,46,0,46,31,0,31,15,0,15,11,0,11,263,116,382
POA2794,..,1265,1265,1389,83,1475,534,9,542,438,0,438,201,0,201,112,0,112,2674,1359,4028
POA2795,..,3975,3975,4611,458,5073,2099,98,2191,2121,43,2165,962,10,970,467,3,472,10261,4582,14839
POA2797,..,42,42,61,4,72,13,0,13,21,0,21,12,0,12,9,0,9,114,43,158
